compound,n_total_spearman,unique_cell_lines_spearman,spearman_rho,spearman_p,direction,spearman_fdr,significant_fdr_0_05_spearman,significant_p_0_05_spearman,significant_p_0_10_spearman,n_total_mw,unique_cell_lines_mw,n_high,n_low,auc_mean_high,auc_mean_low,auc_median_high,auc_median_low,delta_mean_high_minus_low,delta_median_high_minus_low,mw_p,mw_fdr,significant_fdr_0_05_mw,significant_p_0_05_mw,significant_p_0_10_mw
ALEXIDINE (BRD:BRD-A27883417-300-01-6),20,20,-0.2045112781954887,0.38709023775567697,negative,0.7663692375297371,False,False,False,,,,,,,,,,,,,,,
ALFACALCIDOL (BRD:BRD-K49522529-001-02-9),14,14,-0.13406593406593406,0.6477195279851133,negative,0.8799020664782387,False,False,False,,,,,,,,,,,,,,,
ALISERTIB (BRD:BRD-K75295174-001-05-0),18,18,0.18885448916408668,0.4529458223784956,positive,0.7826832899417057,False,False,False,,,,,,,,,,,,,,,
ALPELISIB (BRD:BRD-K54997624-001-06-0),15,15,-0.8107142857142855,0.0002460079779722061,negative,0.06918380437820139,False,True,True,,,,,,,,,,,,,,,
ALVESPIMYCIN (BRD:BRD-K83988098-001-02-0),17,17,-0.03431372549019608,0.8959808104551742,negative,0.9746808320652924,False,False,False,,,,,,,,,,,,,,,
ALVOCIDIB (BRD:BRD-K87909389-003-03-4),21,21,-0.044155844155844164,0.8492705803407119,negative,0.9639855930264206,False,False,False,8.0,8.0,3.0,5.0,0.7806012625714672,0.7148895661452908,0.7667020534980077,0.7190515851421373,0.06571169642617647,0.04765046835587039,0.5714285714285714,0.8340425531914892,False,False,False
AM-251 (BRD:BRD-K92000912-001-12-6),16,16,0.12058823529411765,0.6564245147485953,positive,0.8849203763710071,False,False,False,,,,,,,,,,,,,,,
AM-580 (BRD:BRD-K06854232-001-19-9),15,15,-0.1357142857142857,0.6296204418728145,negative,0.8680420365534922,False,False,False,,,,,,,,,,,,,,,
AMFENAC (BRD:BRD-K82122102-323-01-1),17,17,-0.12254901960784316,0.639378272107459,negative,0.8725981673429464,False,False,False,6.0,6.0,3.0,3.0,0.9122154691821857,0.9141251875489039,0.911958141342761,0.907843705801418,-0.0019097183667182716,0.004114435541342942,1.0,1.0,False,False,False
AMG 706 (BRD:BRD-K99616396-001-05-1),16,16,0.06176470588235294,0.8202418775044894,positive,0.949244531895759,False,False,False,,,,,,,,,,,,,,,
AMG900 (BRD:BRD-K21728777-001-02-3),19,19,0.20526315789473687,0.3992226299118769,positive,0.7734882591591963,False,False,False,,,,,,,,,,,,,,,
AMINOGLUTETHIMIDE (BRD:BRD-A25234499-001-19-1),11,11,-0.2545454545454546,0.45003657688882837,negative,0.780776068598229,False,False,False,,,,,,,,,,,,,,,
AMINOPURVALANOL-A (BRD:BRD-K07762753-001-04-4),14,14,0.24835164835164836,0.3919195389384575,positive,0.7690332286281288,False,False,False,,,,,,,,,,,,,,,
AMSACRINE (BRD:BRD-K68346641-001-01-4),19,19,0.3368421052631579,0.1584830429639541,positive,0.5687870218257833,False,False,False,6.0,6.0,3.0,3.0,0.7757199121766744,0.6101903535978417,0.765666482224823,0.634424321255811,0.16552955857883267,0.13124216096901198,0.1,0.3733333333333333,False,False,False
ANAGRELIDE (BRD:BRD-K62200014-003-10-5),14,14,0.17362637362637365,0.5527669411422413,positive,0.8343473658608532,False,False,False,,,,,,,,,,,,,,,
ANGUIDINE (BRD:BRD-K45724504-001-01-6),20,20,0.3293233082706767,0.15623105162611658,positive,0.5677037801887282,False,False,False,7.0,7.0,3.0,4.0,0.6770916669923134,0.6108200580561669,0.716353686048572,0.5903855324024145,0.06627160893614648,0.12596815364615743,0.22857142857142856,0.519205298013245,False,False,False
ANISOMYCIN (BRD:BRD-K91370081-001-25-1),22,22,0.4703557312252965,0.027168310320796737,positive,0.28755148979330303,False,True,True,8.0,8.0,3.0,5.0,0.8167006699662346,0.6960833522200419,0.831741247291914,0.69239233804205,0.12061731774619266,0.13934890924986398,0.07142857142857142,0.35,False,False,True
APATINIB (BRD:BRD-K25244359-066-03-4),12,12,-0.09090909090909093,0.7787253962454419,negative,0.9382723639905493,False,False,False,,,,,,,,,,,,,,,
APHIDICOLIN (BRD:BRD-K85140930-001-12-7),15,15,0.2071428571428571,0.4588428049634703,positive,0.789039768533424,False,False,False,,,,,,,,,,,,,,,
AR 42 (BRD:BRD-K13167095-001-02-9),21,21,0.04675324675324675,0.8405105142403159,positive,0.9601174438217321,False,False,False,8.0,8.0,3.0,5.0,0.7632108115406503,0.7530647080311186,0.789613975306087,0.711921183141291,0.010146103509531712,0.07769279216479597,1.0,1.0,False,False,False
AR-12 (BRD:BRD-K90497590-001-04-2),20,20,0.38947368421052625,0.08961904769837135,positive,0.4396312173203439,False,False,True,,,,,,,,,,,,,,,
