compound,n_total,unique_cell_lines,spearman_rho,spearman_p,direction,spearman_fdr,significant_fdr_0_05,significant_p_0_05,significant_p_0_10
VINFLUNINE (BRD:BRD-K64120610-001-01-4),22,22,0.5008469791078487,0.017583589103802363,positive,0.24644935204218232,False,True,True
AV-412 (BRD:BRD-K23190681-001-01-1),21,21,0.5103896103896104,0.018076642193560668,positive,0.2477711115369701,False,True,True
WZ8040 (BRD:BRD-K81728688-001-04-4),19,19,-0.5350877192982456,0.018239096545756575,negative,0.2477711115369701,False,True,True
10-HYDROXYCAMPTOTHECIN (BRD:BRD-K63784565-001-06-2),21,21,0.5064935064935064,0.01912895113475244,positive,0.2559221795755516,False,True,True
TASELISIB (BRD:BRD-K44844162-001-01-6),19,19,-0.5280701754385965,0.020124315761969946,negative,0.2588831710841135,False,True,True
MAYTANSINOL-ISOBUTYRATE (BRD:BRD-K15898725-001-01-7),12,12,0.6573426573426573,0.020185498509854093,positive,0.2588831710841135,False,True,True
PIDNARULEX (BRD:BRD-K12787259-001-04-3),21,21,0.5025974025974026,0.020229828771012266,positive,0.2588831710841135,False,True,True
VANDETANIB (BRD:BRD-K77625799-001-07-7),18,18,-0.5397316821465429,0.020782714646741186,negative,0.2593858020170157,False,True,True
BEXAROTENE (BRD:BRD-K92441787-001-04-1),14,14,-0.6087912087912088,0.020856616017223235,negative,0.2593858020170157,False,True,True
PF-477736 (BRD:BRD-K03063480-001-06-6),20,20,0.5097744360902255,0.02166896662153533,positive,0.2634858439593435,False,True,True
PF-05212384 (BRD:BRD-K07955840-001-02-3),22,22,-0.4861660079051384,0.021783087892448556,negative,0.2634858439593435,False,True,True
SELINEXOR (BRD:BRD-K21361524-001-01-1),21,21,0.4948051948051948,0.022583594997581564,positive,0.26718639931158167,False,True,True
A-674563 (BRD:BRD-K78177893-001-02-4),19,19,0.519298245614035,0.022694201527031287,positive,0.26718639931158167,False,True,True
DAUNORUBICIN (BRD:BRD-K43389675-001-02-1),19,19,0.5157894736842105,0.02379180877011268,positive,0.2755039064647447,False,True,True
MK 2206 (BRD:BRD-K68065987-300-09-1),20,20,-0.5022556390977443,0.024024689465215566,negative,0.2755039064647447,False,True,True
AZD1480 (BRD:BRD-K65928735-001-04-3),10,10,0.6969696969696969,0.02509667588225185,positive,0.2777820489415888,False,True,True
PHENIRAMINE (BRD:BRD-A23072235-050-18-5),10,10,-0.6969696969696969,0.02509667588225185,negative,0.2777820489415888,False,True,True
PRACTOLOL (BRD:BRD-A41304429-001-14-8),13,13,-0.6153846153846153,0.025167116551899325,negative,0.2777820489415888,False,True,True
AZ-10353926 (BRD:BRD-K19540840-001-09-4),17,17,-0.5392156862745099,0.025503680315881874,negative,0.27802160146819377,False,True,True
EMBELIC ACID (BRD:BRD-K86727142-001-12-4),17,17,0.5343137254901961,0.027139775804459698,positive,0.28755148979330303,False,True,True
