compound,n_total,unique_cell_lines,n_high,n_low,auc_mean_high,auc_mean_low,auc_median_high,auc_median_low,delta_mean_high_minus_low,delta_median_high_minus_low,mw_p,mw_fdr,significant_fdr_0_05,significant_p_0_05,significant_p_0_10
ENDO-IWR-1 (BRD:BRD-K61314889-001-04-4),6,6,3,3,0.8790088931426516,0.82897046993155,0.858072930018707,0.833842934767401,0.050038423211101635,0.02422999525130598,0.1,0.3733333333333333,False,False,False
IDARUBICIN (BRD:BRD-K69650333-003-14-0),6,6,3,3,0.7183948093765501,0.592481446388895,0.716314168610527,0.55700228507418,0.1259133629876551,0.15931188353634695,0.1,0.3733333333333333,False,False,False
MAYTANSINOL-ISOBUTYRATE (BRD:BRD-K15898725-001-01-7),6,6,3,3,0.406460431497575,0.12328019959807003,0.417640650939626,0.104649965543965,0.283180231899505,0.312990685395661,0.1,0.3733333333333333,False,False,False
SN38 (BRD:BRD-K89561498-001-01-7),6,6,3,3,0.5358350122469037,0.17759078632921513,0.501360615378125,0.169698476465036,0.35824422591768856,0.33166213891308904,0.1,0.3733333333333333,False,False,False
SPIRADOLINE (BRD:BRD-K28192623-066-08-1),6,6,3,3,0.8928286120341017,0.7424628073016574,0.881127908658235,0.738682049003092,0.15036580473244432,0.142445859655143,0.1,0.3733333333333333,False,False,False
TIPIFARNIB (BRD:BRD-K62965247-001-04-9),6,6,3,3,0.8869601446993931,0.7061402043144547,0.910466430704835,0.662278042252559,0.18081994038493843,0.24818838845227598,0.1,0.3733333333333333,False,False,False
10-DEACETYLBACCATIN (BRD:BRD-K96631475-001-02-4),7,7,3,4,0.8851410026261867,0.8015170898098745,0.886749863282282,0.8053395987739835,0.08362391281631221,0.08141026450829847,0.11428571428571428,0.3733333333333333,False,False,False
9-AMINOACRIDINE (BRD:BRD-K00535541-001-06-3),7,7,3,4,0.8765598203941879,0.8219172607640017,0.882768417461297,0.835882269406738,0.05464255963018616,0.04688614805455893,0.11428571428571428,0.3733333333333333,False,False,False
ABT-751 (BRD:BRD-K91623615-001-05-0),7,7,3,4,0.720657157864358,0.6184318268475917,0.768097108471937,0.583575401788204,0.10222533101676634,0.18452170668373302,0.11428571428571428,0.3733333333333333,False,False,False
AV-412 (BRD:BRD-K23190681-001-01-1),7,7,3,4,0.9308456697275599,0.8131817212953079,0.95813313984398,0.835981171935742,0.11766394843225203,0.12215196790823801,0.11428571428571428,0.3733333333333333,False,False,False
AZD7762 (BRD:BRD-K86525559-001-07-8),7,7,3,4,0.6897314033737086,0.5423433932069215,0.70510324726337,0.5448740142648605,0.14738801016678715,0.16022923299850955,0.11428571428571428,0.3733333333333333,False,False,False
BI-78D3 (BRD:BRD-K73982490-001-02-9),7,7,3,4,0.9042164385749399,0.8233540612043487,0.905422462761498,0.8313243080366175,0.08086237737059121,0.07409815472488046,0.11428571428571428,0.3733333333333333,False,False,False
BMS-387032 (BRD:BRD-K43389698-001-09-9),7,7,3,4,0.7218460140022116,0.5572813808596362,0.704759380514298,0.535062691276408,0.1645646331425754,0.16969668923788994,0.11428571428571428,0.3733333333333333,False,False,False
CRIZOTINIB-(S) (BRD:BRD-K40308497-001-01-2),7,7,3,4,0.8727927071966866,0.8443662977834794,0.877275612436658,0.839147880203666,0.028426409413207177,0.03812773223299193,0.11428571428571428,0.3733333333333333,False,False,False
D-64131 (BRD:BRD-K26997899-001-02-2),7,7,3,4,0.8186791660696624,0.6143282910678878,0.791604786485004,0.6113398589550565,0.20435087500177462,0.1802649275299475,0.11428571428571428,0.3733333333333333,False,False,False
