gene_original,SYMBOL,ENTREZID
CIB3 (117286),CIB3,117286
SH3GL1 (6455),SH3GL1,6455
DUS3L (56931),DUS3L,56931
DPP9 (91039),DPP9,91039
CCDC97 (90324),CCDC97,90324
TMEM91 (641649),TMEM91,641649
ZFP14 (57677),ZFP14,57677
SIRT3 (23410),SIRT3,23410
IFITM3 (10410),IFITM3,10410
PGGHG (80162),PGGHG,80162
HUNK (30811),HUNK,30811
COL6A1 (1291),COL6A1,1291
IFNAR1 (3454),IFNAR1,3454
SOD1 (6647),SOD1,6647
COL6A2 (1292),COL6A2,1292
SIK1 (150094),SIK1,150094
TRPM2 (7226),TRPM2,7226
SCYL1 (57410),SCYL1,57410
TMEM50B (757),TMEM50B,757
APP (351),APP,351
DOP1B (9980),DOP1B,9980
URB1 (9875),URB1,9875
AKT1 (207),AKT1,207
IL19 (29949),IL19,29949
EMP3 (2014),EMP3,2014
SAE1 (10055),SAE1,10055
NTN5 (126147),NTN5,126147
LMTK3 (114783),LMTK3,114783
GEMIN7 (79760),GEMIN7,79760
CBLC (23624),CBLC,23624
WTIP (126374),WTIP,126374
ADAMTS10 (81794),ADAMTS10,81794
SLC6A3 (6531),SLC6A3,6531
RNPEPL1 (57140),RNPEPL1,57140
CAPN10 (11132),CAPN10,11132
MYO1F (4542),MYO1F,4542
NLRP12 (91662),NLRP12,91662
CACNG8 (59283),CACNG8,59283
ZNF787 (126208),ZNF787,126208
TIMM29 (90580),TIMM29,90580
FBN3 (84467),FBN3,84467
CARM1 (10498),CARM1,10498
EVI5L (115704),EVI5L,115704
SLC47A1 (55244),SLC47A1,55244
PSMB6 (5694),PSMB6,5694
SIGLEC10 (89790),SIGLEC10,89790
ACP4 (93650),ACP4,93650
KLK3 (354),KLK3,354
ZNF473 (25888),ZNF473,25888
GARIN5A (112703),GARIN5A,112703
RPS11 (6205),RPS11,6205
RPL13A (23521),RPL13A,23521
CTU1 (90353),CTU1,90353
NOSIP (51070),NOSIP,51070
IGLON5 (402665),IGLON5,402665
RCN3 (57333),RCN3,57333
ZNF614 (80110),ZNF614,80110
SLC2A5 (6518),SLC2A5,6518
RERE (473),RERE,473
MMEL1 (79258),MMEL1,79258
CFAP74 (85452),CFAP74,85452
PRDM16 (63976),PRDM16,63976
PADI3 (51702),PADI3,51702
FHAD1 (114827),FHAD1,114827
PADI1 (29943),PADI1,29943
EPHA2 (1969),EPHA2,1969
ARHGEF19 (128272),ARHGEF19,128272
EFHD2 (79180),EFHD2,79180
PEX14 (5195),PEX14,5195
PGD (5226),PGD,5226
MYOM3 (127294),MYOM3,127294
SH3BGRL3 (83442),SH3BGRL3,83442
CNKSR1 (10256),CNKSR1,10256
RPL11 (6135),RPL11,6135
IL22RA1 (58985),IL22RA1,58985
C1orf216 (127703),C1orf216,127703
KIAA0319L (79932),KIAA0319L,79932
PLK4 (10733),PLK4,10733
MAP3K6 (9064),MAP3K6,9064
FCN3 (8547),FCN3,8547
GPN2 (54707),GPN2,54707
SYTL1 (84958),SYTL1,84958
WDTC1 (23038),WDTC1,23038
NBPF3 (84224),NBPF3,84224
HSPG2 (3339),HSPG2,3339
ITGB3BP (23421),ITGB3BP,23421
SERBP1 (26135),SERBP1,26135
BCL10 (8915),BCL10,8915
CCN1 (3491),CCN1,3491
PRKACB (5567),PRKACB,5567
PIGK (10026),PIGK,10026
TINAGL1 (64129),TINAGL1,64129
AZIN2 (113451),AZIN2,113451
RPS8 (6202),RPS8,6202
KIF2C (11004),KIF2C,11004
PTPRF (5792),PTPRF,5792
BEST4 (266675),BEST4,266675
MOB3C (148932),MOB3C,148932
CYP4B1 (1580),CYP4B1,1580
TMEM61 (199964),TMEM61,199964
LMO4 (8543),LMO4,8543
SYPL2 (284612),SYPL2,284612
MTF2 (22823),MTF2,22823
SLC44A3 (126969),SLC44A3,126969
IGSF3 (3321),IGSF3,3321
ZNF697 (90874),ZNF697,90874
CTTNBP2NL (55917),CTTNBP2NL,55917
STRIP1 (85369),STRIP1,85369
PSMA5 (5686),PSMA5,5686
FNDC7 (163479),FNDC7,163479
C1orf162 (128346),C1orf162,128346
CD53 (963),CD53,963
CELSR2 (1952),CELSR2,1952
ITGA10 (8515),ITGA10,8515
GPR161 (23432),GPR161,23432
ALDH9A1 (223),ALDH9A1,223
ATP1B1 (481),ATP1B1,481
TIPRL (261726),TIPRL,261726
NME7 (29922),NME7,29922
POGK (57645),POGK,57645
MPC2 (25874),MPC2,25874
CREG1 (8804),CREG1,8804
DCAF6 (55827),DCAF6,55827
GPA33 (10223),GPA33,10223
RXRG (6258),RXRG,6258
TBX19 (9095),TBX19,9095
UCK2 (7371),UCK2,7371
TMCO1 (54499),TMCO1,54499
POU2F1 (5451),POU2F1,5451
ILDR2 (387597),ILDR2,387597
MGST3 (4259),MGST3,4259
ADCY10 (55811),ADCY10,55811
COP1 (64326),COP1,64326
NECTIN4 (81607),NECTIN4,81607
UFC1 (51506),UFC1,51506
PPOX (5498),PPOX,5498
FCGR2A (2212),FCGR2A,2212
NUF2 (83540),NUF2,83540
RGS5 (8490),RGS5,8490
SDHC (6391),SDHC,6391
PFDN2 (5202),PFDN2,5202
NR1I3 (9970),NR1I3,9970
USP21 (27005),USP21,27005
F13B (2165),F13B,2165
PRCC (5546),PRCC,5546
METTL25B (51093),METTL25B,51093
MRPL24 (79590),MRPL24,79590
PIGM (93183),PIGM,93183
CASQ1 (844),CASQ1,844
ISG20L2 (81875),ISG20L2,81875
CRABP2 (1382),CRABP2,1382
HDGF (3068),HDGF,3068
ABL2 (27),ABL2,27
XPR1 (9213),XPR1,9213
RGS16 (6004),RGS16,6004
TOR1AIP1 (26092),TOR1AIP1,26092
HMCN1 (83872),HMCN1,83872
RGL1 (23179),RGL1,23179
LYPLAL1 (127018),LYPLAL1,127018
LHX9 (56956),LHX9,56956
PRUNE1 (58497),PRUNE1,58497
RORC (6097),RORC,6097
TUFT1 (7286),TUFT1,7286
SF3B4 (10262),SF3B4,10262
ECM1 (1893),ECM1,1893
ZNF687 (57592),ZNF687,57592
TARS2 (80222),TARS2,80222
CGN (57530),CGN,57530
SNX27 (81609),SNX27,81609
SETDB1 (9869),SETDB1,9869
ADAMTSL4 (54507),ADAMTSL4,54507
MCL1 (4170),MCL1,4170
CTSK (1513),CTSK,1513
RFX5 (5993),RFX5,5993
PI4KB (5298),PI4KB,5298
PIP5K1A (8394),PIP5K1A,8394
ANP32E (81611),ANP32E,81611
MINDY1 (55793),MINDY1,55793
ANXA9 (8416),ANXA9,8416
SELENBP1 (8991),SELENBP1,8991
CERS2 (29956),CERS2,29956
ENSA (2029),ENSA,2029
SEMA6C (10500),SEMA6C,10500
MRPL9 (65005),MRPL9,65005
ARNT (405),ARNT,405
POGZ (23126),POGZ,23126
C1orf56 (54964),C1orf56,54964
OAZ3 (51686),OAZ3,51686
HORMAD1 (84072),HORMAD1,84072
GOLPH3L (55204),GOLPH3L,55204
GABPB2 (126626),GABPB2,126626
SYT14 (255928),SYT14,255928
KCNH1 (3756),KCNH1,3756
DTL (51514),DTL,51514
DYRK3 (8444),DYRK3,8444
EIF2D (1939),EIF2D,1939
INTS7 (25896),INTS7,25896
VASH2 (79805),VASH2,79805
TAF1A (9015),TAF1A,9015
SMYD2 (56950),SMYD2,56950
SUSD4 (55061),SUSD4,55061
DUSP10 (11221),DUSP10,11221
HHIPL2 (79802),HHIPL2,79802
TP53BP2 (7159),TP53BP2,7159
ATP8B2 (57198),ATP8B2,57198
FLG2 (388698),FLG2,388698
ADAM15 (8751),ADAM15,8751
JTB (10899),JTB,10899
RAB13 (5872),RAB13,5872
S100A8 (6279),S100A8,6279
TPM3 (7170),TPM3,7170
NUP210L (91181),NUP210L,91181
SNAPIN (23557),SNAPIN,23557
SLC27A3 (11000),SLC27A3,11000
S100A7 (6278),S100A7,6278
UBAP2L (9898),UBAP2L,9898
SLC39A1 (27173),SLC39A1,27173
HAX1 (10456),HAX1,10456
CREB3L4 (148327),CREB3L4,148327
EFNA3 (1944),EFNA3,1944
KCNN3 (3782),KCNN3,3782
C1orf43 (25912),C1orf43,25912
GATAD2B (57459),GATAD2B,57459
ILF2 (3608),ILF2,3608
RIT1 (6016),RIT1,6016
INTS3 (65123),INTS3,65123
HCN3 (57657),HCN3,57657
FLG (2312),FLG,2312
ACTA1 (58),ACTA1,58
FSAF1 (128061),FSAF1,128061
GALNT2 (2590),GALNT2,2590
TTC13 (79573),TTC13,79573
SCCPDH (51097),SCCPDH,51097
LYST (1130),LYST,1130
MAP3K21 (84451),MAP3K21,84451
CEP170 (9859),CEP170,9859
ACP1 (52),ACP1,52
SNAP47 (116841),SNAP47,116841
SRP9 (6726),SRP9,6726
NVL (4931),NVL,4931
SDE2 (163859),SDE2,163859
DEGS1 (8560),DEGS1,8560
FBXO28 (23219),FBXO28,23219
ARF1 (375),ARF1,375
CNIH4 (29097),CNIH4,29097
ITPKB (3707),ITPKB,3707
GUK1 (2987),GUK1,2987
CDC42BPA (8476),CDC42BPA,8476
CNIH3 (149111),CNIH3,149111
C1orf35 (79169),C1orf35,79169
MBOAT2 (129642),MBOAT2,129642
PARP1 (142),PARP1,142
PSEN2 (5664),PSEN2,5664
PYCR2 (29920),PYCR2,29920
LBR (3930),LBR,3930
WNT9A (7483),WNT9A,7483
EPHX1 (2052),EPHX1,2052
REN (5972),REN,5972
SOX13 (9580),SOX13,9580
ETNK2 (55224),ETNK2,55224
PPFIA4 (8497),PPFIA4,8497
PLEKHA6 (22874),PLEKHA6,22874
PTPN7 (5778),PTPN7,5778
SYT2 (127833),SYT2,127833
ARL8A (127829),ARL8A,127829
OSR1 (130497),OSR1,130497
GDF7 (151449),GDF7,151449
PDIA6 (10130),PDIA6,10130
RHOB (388),RHOB,388
ATP6V1C2 (245973),ATP6V1C2,245973
HNRNPLL (92906),HNRNPLL,92906
GALM (130589),GALM,130589
CAMKMT (79823),CAMKMT,79823
ABCG8 (64241),ABCG8,64241
EML4 (27436),EML4,27436
CALM2 (805),CALM2,805
CHAC2 (494143),CHAC2,494143
RPS27A (6233),RPS27A,6233
WDPCP (51057),WDPCP,51057
VPS54 (51542),VPS54,51542
ASXL2 (55252),ASXL2,55252
ETAA1 (54465),ETAA1,54465
SNRPG (6637),SNRPG,6637
ABHD1 (84696),ABHD1,84696
MEIS1 (4211),MEIS1,4211
CIAO1 (9391),CIAO1,9391
ZNF514 (84874),ZNF514,84874
SNRNP200 (23020),SNRNP200,23020
MRPS5 (64969),MRPS5,64969
ANKRD53 (79998),ANKRD53,79998
TPRKB (51002),TPRKB,51002
EXOC6B (23233),EXOC6B,23233
SFXN5 (94097),SFXN5,94097
TEX261 (113419),TEX261,113419
DQX1 (165545),DQX1,165545
DUSP11 (8446),DUSP11,8446
ST6GAL2 (84620),ST6GAL2,84620
NPHP1 (4867),NPHP1,4867
MALL (7851),MALL,7851
THNSL2 (55258),THNSL2,55258
RALB (5899),RALB,5899
C1QL2 (165257),C1QL2,165257
TMEM177 (80775),TMEM177,80775
NT5DC4 (284958),NT5DC4,284958
RABL2A (11159),RABL2A,11159
SLC20A1 (6574),SLC20A1,6574
FBLN7 (129804),FBLN7,129804
ZC3H8 (84524),ZC3H8,84524
LIPT1 (51601),LIPT1,51601
FAHD2B (151313),FAHD2B,151313
LYG1 (129530),LYG1,129530
AFF3 (3899),AFF3,3899
UBXN4 (23190),UBXN4,23190
NXPH2 (11249),NXPH2,11249
SPOPL (339745),SPOPL,339745
THSD7B (80731),THSD7B,80731
GPR17 (2840),GPR17,2840
POLR2D (5433),POLR2D,5433
AMMECR1L (83607),AMMECR1L,83607
GALNT13 (114805),GALNT13,114805
PKP4 (8502),PKP4,8502
SCN1A (6323),SCN1A,6323
SLC4A10 (57282),SLC4A10,57282
SCRN3 (79634),SCRN3,79634
LNPK (80856),LNPK,80856
ZNF385B (151126),ZNF385B,151126
TMEFF2 (23671),TMEFF2,23671
CDCA7 (83879),CDCA7,83879
DLX1 (1745),DLX1,1745
UBR3 (130507),UBR3,130507
PHOSPHO2 (493911),PHOSPHO2,493911
GULP1 (51454),GULP1,51454
FAM171B (165215),FAM171B,165215
HSPD1 (3329),HSPD1,3329
CCDC150 (284992),CCDC150,284992
METTL21A (151194),METTL21A,151194
UNC80 (285175),UNC80,285175
PTH2R (5746),PTH2R,5746
CPO (130749),CPO,130749
NBEAL1 (65065),NBEAL1,65065
KANSL1L (151050),KANSL1L,151050
SPAG16 (79582),SPAG16,79582
ABCA12 (26154),ABCA12,26154
SUMF1 (285362),SUMF1,285362
RHBDD1 (84236),RHBDD1,84236
ACKR3 (57007),ACKR3,57007
TRPM8 (79054),TRPM8,79054
HES6 (55502),HES6,55502
ESPNL (339768),ESPNL,339768
ANKMY1 (51281),ANKMY1,51281
COPS7B (64708),COPS7B,64708
DIS3L2 (129563),DIS3L2,129563
FANCD2 (2177),FANCD2,2177
TAMM41 (132001),TAMM41,132001
VGLL4 (9686),VGLL4,9686
RAB5A (5868),RAB5A,5868
RETREG2 (79137),RETREG2,79137
CTDSP1 (58190),CTDSP1,58190
CNOT9 (9125),CNOT9,9125
MARCHF4 (57574),MARCHF4,57574
STK11IP (114790),STK11IP,114790
GMPPA (29926),GMPPA,29926
GRIP2 (80852),GRIP2,80852
EAF1 (85403),EAF1,85403
CNTN4 (152330),CNTN4,152330
DYNC1LI1 (51143),DYNC1LI1,51143
RBMS3 (27303),RBMS3,27303
OSBPL10 (114884),OSBPL10,114884
POMGNT2 (84892),POMGNT2,84892
ACKR2 (1238),ACKR2,1238
GASK1A (729085),GASK1A,729085
CSRNP1 (64651),CSRNP1,64651
SLC25A38 (54977),SLC25A38,54977
ITGA9 (3680),ITGA9,3680
SLC22A14 (9389),SLC22A14,9389
GOLGA4 (2803),GOLGA4,2803
CTDSPL (10217),CTDSPL,10217
STAC (6769),STAC,6769
IQSEC1 (9922),IQSEC1,9922
CAND2 (23066),CAND2,23066
RPL32 (6161),RPL32,6161
PTPRG (5793),PTPRG,5793
IL17RD (54756),IL17RD,54756
SHQ1 (55164),SHQ1,55164
SLC25A26 (115286),SLC25A26,115286
UBA3 (9039),UBA3,9039
ARL6IP5 (10550),ARL6IP5,10550
TMF1 (7110),TMF1,7110
LRIG1 (26018),LRIG1,26018
LIMD1 (8994),LIMD1,8994
ZNF660 (285349),ZNF660,285349
NFKBIZ (64332),NFKBIZ,64332
COL8A1 (1295),COL8A1,1295
NXPE3 (91775),NXPE3,91775
MYH15 (22989),MYH15,22989
PHLDB2 (90102),PHLDB2,90102
ABHD10 (55347),ABHD10,55347
RABL3 (285282),RABL3,285282
ADPRH (141),ADPRH,141
IGSF11 (152404),IGSF11,152404
ATG3 (64422),ATG3,64422
BOC (91653),BOC,91653
SRPRB (58477),SRPRB,58477
TMEM108 (66000),TMEM108,66000
AGTR1 (185),AGTR1,185
MED12L (116931),MED12L,116931
EIF2A (83939),EIF2A,83939
ALDH1L1 (10840),ALDH1L1,10840
OSBPL11 (114885),OSBPL11,114885
TRPC1 (7220),TRPC1,7220
NCEH1 (57552),NCEH1,57552
FAM86B2 (653333),FAM86B2,653333
LPP (4026),LPP,4026
TMEM44 (93109),TMEM44,93109
RUBCN (9711),RUBCN,9711
AMT (275),AMT,275
TCTA (6988),TCTA,6988
UCN2 (90226),UCN2,90226
DCAF1 (9730),DCAF1,9730
MANF (7873),MANF,7873
STXBP5L (9515),STXBP5L,9515
EAF2 (55840),EAF2,55840
ILDR1 (286676),ILDR1,286676
TM4SF19 (116211),TM4SF19,116211
MUC4 (4585),MUC4,4585
SLIT2 (9353),SLIT2,9353
EIF2B5 (8893),EIF2B5,8893
AHSG (197),AHSG,197
VWA5B2 (90113),VWA5B2,90113
DGKQ (1609),DGKQ,1609
FIP1L1 (81608),FIP1L1,81608
SLC26A1 (10861),SLC26A1,10861
LYAR (55646),LYAR,55646
CENPC (1060),CENPC,1060
EPHA5 (2044),EPHA5,2044
CORIN (10699),CORIN,10699
ATP10D (57205),ATP10D,57205
OCIAD2 (132299),OCIAD2,132299
SLC10A4 (201780),SLC10A4,201780
SLC10A6 (345274),SLC10A6,345274
SCD5 (79966),SCD5,79966
PLAC8 (51316),PLAC8,51316
ENOPH1 (58478),ENOPH1,58478
TRMT10A (93587),TRMT10A,93587
KLHL8 (57563),KLHL8,57563
SNCA (6622),SNCA,6622
TBCK (93627),TBCK,93627
CAMK2D (817),CAMK2D,817
CISD2 (493856),CISD2,493856
DDIT4L (115265),DDIT4L,115265
ANK2 (287),ANK2,287
TIFA (92610),TIFA,92610
AFG2A (166378),AFG2A,166378
CCNA2 (890),CCNA2,890
METTL14 (57721),METTL14,57721
USP53 (54532),USP53,54532
SETD7 (80854),SETD7,80854
NAF1 (92345),NAF1,92345
MARCHF1 (55016),MARCHF1,55016
SFRP2 (6423),SFRP2,6423
RPS3A (6189),RPS3A,6189
PDGFC (56034),PDGFC,56034
CBR4 (84869),CBR4,84869
CYP4V2 (285440),CYP4V2,285440
ROPN1L (83853),ROPN1L,83853
NDUFS6 (4726),NDUFS6,4726
MARCHF6 (10299),MARCHF6,10299
NKD2 (85409),NKD2,85409
CDH18 (1016),CDH18,1016
ADAMTS16 (170690),ADAMTS16,170690
SRD5A1 (6715),SRD5A1,6715
MYO10 (4651),MYO10,4651
OTULINL (54491),OTULINL,54491
RPL37 (6167),RPL37,6167
SKP2 (6502),SKP2,6502
OSMR (9180),OSMR,9180
PLK2 (10769),PLK2,10769
SHISAL2B (100132916),SHISAL2B,100132916
PIK3R1 (5295),PIK3R1,5295
HAPLN1 (1404),HAPLN1,1404
LHFPL2 (10184),LHFPL2,10184
SSBP2 (23635),SSBP2,23635
ANKRD31 (256006),ANKRD31,256006
IQGAP2 (10788),IQGAP2,10788
CRHBP (1393),CRHBP,1393
RASA1 (5921),RASA1,5921
GIN1 (54826),GIN1,54826
PPIP5K2 (23262),PPIP5K2,23262
PAM (5066),PAM,5066
BDP1 (55814),BDP1,55814
GTF2H2 (2966),GTF2H2,2966
SLC30A5 (64924),SLC30A5,64924
BTF3 (689),BTF3,689
FBXL17 (64839),FBXL17,64839
SPATA9 (83890),SPATA9,83890
TSLP (85480),TSLP,85480
TNFAIP8 (25816),TNFAIP8,25816
FEM1C (56929),FEM1C,56929
COMMD10 (51397),COMMD10,51397
ATG12 (9140),ATG12,9140
MEGF10 (84466),MEGF10,84466
ADAMTS19 (171019),ADAMTS19,171019
YIPF5 (81555),YIPF5,81555
ARHGAP26 (23092),ARHGAP26,23092
CXCL14 (9547),CXCL14,9547
SLC25A48 (153328),SLC25A48,153328
DDX46 (9879),DDX46,9879
RNF145 (153830),RNF145,153830
C1QTNF2 (114898),C1QTNF2,114898
GABRB2 (2561),GABRB2,2561
FBXO38 (81545),FBXO38,81545
PCYOX1L (78991),PCYOX1L,78991
TNIP1 (10318),TNIP1,10318
G3BP1 (10146),G3BP1,10146
ZNF300 (91975),ZNF300,91975
N4BP3 (23138),N4BP3,23138
NHP2 (55651),NHP2,55651
RMND5B (64777),RMND5B,64777
BOD1 (91272),BOD1,91272
CPLX2 (10814),CPLX2,10814
TENM2 (57451),TENM2,57451
KCNMB1 (3779),KCNMB1,3779
FAM50B (26240),FAM50B,26240
MYLK4 (340156),MYLK4,340156
FAM217A (222826),FAM217A,222826
TBC1D7 (51256),TBC1D7,51256
FARS2 (10667),FARS2,10667
GFOD1 (54438),GFOD1,54438
CDKAL1 (54901),CDKAL1,54901
PSD2 (84249),PSD2,84249
LRRTM2 (26045),LRRTM2,26045
ZMAT2 (153527),ZMAT2,153527
GFRA3 (2676),GFRA3,2676
KLHL3 (26249),KLHL3,26249
DCDC2 (51473),DCDC2,51473
TRIM7 (81786),TRIM7,81786
TRIM41 (90933),TRIM41,90933
HIGD2A (192286),HIGD2A,192286
FAM193B (54540),FAM193B,54540
PLA2G7 (7941),PLA2G7,7941
TNFRSF21 (27242),TNFRSF21,27242
RNF44 (22838),RNF44,22838
MMUT (4594),MMUT,4594
RASGEF1C (255426),RASGEF1C,255426
DOK3 (79930),DOK3,79930
ABT1 (29777),ABT1,29777
PPP1R18 (170954),PPP1R18,170954
DAAM2 (23500),DAAM2,23500
PRIM2 (5558),PRIM2,5558
MLIP (90523),MLIP,90523
HMGCLL1 (54511),HMGCLL1,54511
FGD2 (221472),FGD2,221472
SCUBE3 (222663),SCUBE3,222663
ANO7 (50636),ANO7,50636
CRIP3 (401262),CRIP3,401262
TTBK1 (84630),TTBK1,84630
TCTE1 (202500),TCTE1,202500
RPL7L1 (285855),RPL7L1,285855
NFKBIE (4794),NFKBIE,4794
CYP39A1 (51302),CYP39A1,51302
TPBG (7162),TPBG,7162
IRAK1BP1 (134728),IRAK1BP1,134728
PHIP (55023),PHIP,55023
PRSS35 (167681),PRSS35,167681
MMS22L (253714),MMS22L,253714
FAXC (84553),FAXC,84553
PNRC1 (10957),PNRC1,10957
PM20D2 (135293),PM20D2,135293
RARS2 (57038),RARS2,57038
TBC1D32 (221322),TBC1D32,221322
RNF217 (154214),RNF217,154214
RSPO3 (84870),RSPO3,84870
ARHGAP18 (93663),ARHGAP18,93663
ABRACL (58527),ABRACL,58527
SLC18B1 (116843),SLC18B1,116843
MTFR2 (113115),MTFR2,113115
SLC2A12 (154091),SLC2A12,154091
SHPRH (257218),SHPRH,257218
AIG1 (51390),AIG1,51390
DYNLT1 (6993),DYNLT1,6993
TIAM2 (26230),TIAM2,26230
TMEM181 (57583),TMEM181,57583
PNLDC1 (154197),PNLDC1,154197
WTAP (9589),WTAP,9589
ZMYM4 (9202),ZMYM4,9202
ARMT1 (79624),ARMT1,79624
SLC22A3 (6581),SLC22A3,6581
VWDE (221806),VWDE,221806
GNA12 (2768),GNA12,2768
CHLSN (84310),CHLSN,84310
SDK1 (221935),SDK1,221935
CCZ1B (221960),CCZ1B,221960
INTS15 (79034),INTS15,79034
RBAK (57786),RBAK,57786
CREB5 (9586),CREB5,9586
EGFR (1956),EGFR,1956
CDCA5 (113130),CDCA5,113130
IGFBP3 (3486),IGFBP3,3486
PURB (5814),PURB,5814
IGFBP1 (3484),IGFBP1,3484
SSC4D (136853),SSC4D,136853
MDH2 (4191),MDH2,4191
POMZP3 (22932),POMZP3,22932
NIPSNAP2 (2631),NIPSNAP2,2631
CCT6A (908),CCT6A,908
PSPH (5723),PSPH,5723
ZNF92 (168374),ZNF92,168374
ATXN7L1 (222255),ATXN7L1,222255
TMEM168 (64418),TMEM168,64418
TRAPPC14 (55262),TRAPPC14,55262
SLC12A9 (56996),SLC12A9,56996
GIGYF1 (64599),GIGYF1,64599
TRIM4 (89122),TRIM4,89122
MEPCE (56257),MEPCE,56257
ZAN (7455),ZAN,7455
TMEM209 (84928),TMEM209,84928
AGBL3 (340351),AGBL3,340351
ZC3HAV1L (92092),ZC3HAV1L,92092
TMEM140 (55281),TMEM140,55281
TLK2 (11011),TLK2,11011
EPHA1 (2041),EPHA1,2041
NOM1 (64434),NOM1,64434
NCAPG2 (54892),NCAPG2,54892
NLGN4X (57502),NLGN4X,57502
SHROOM2 (357),SHROOM2,357
RAB19 (401409),RAB19,401409
LUC7L2 (51631),LUC7L2,51631
DENND2A (27147),DENND2A,27147
CLTRN (57393),CLTRN,57393
SH3KBP1 (30011),SH3KBP1,30011
TMEM47 (83604),TMEM47,83604
LANCL3 (347404),LANCL3,347404
SYTL5 (94122),SYTL5,94122
CASK (8573),CASK,8573
KDM6A (7403),KDM6A,7403
SPIN2A (54466),SPIN2A,54466
MSN (4478),MSN,4478
CCNB3 (85417),CCNB3,85417
HDAC8 (55869),HDAC8,55869
SLC16A2 (6567),SLC16A2,6567
ZNF157 (7712),ZNF157,7712
ZNF182 (7569),ZNF182,7569
CHST7 (56548),CHST7,56548
KRBOX4 (55634),KRBOX4,55634
NDUFB11 (54539),NDUFB11,54539
ZNF41 (7592),ZNF41,7592
RAB41 (347517),RAB41,347517
ZMYM3 (9203),ZMYM3,9203
TAF1 (6872),TAF1,6872
NONO (4841),NONO,4841
CCDC120 (90060),CCDC120,90060
EBP (10682),EBP,10682
OGT (8473),OGT,8473
SNX12 (29934),SNX12,29934
ITGB1BP2 (26548),ITGB1BP2,26548
GCNA (93953),GCNA,93953
ZNF711 (7552),ZNF711,7552
DIAPH2 (1730),DIAPH2,1730
NXF3 (56000),NXF3,56000
PRPS1 (5631),PRPS1,5631
RADX (55086),RADX,55086
FRMPD3 (84443),FRMPD3,84443
HTR2C (3358),HTR2C,3358
DOCK11 (139818),DOCK11,139818
IGSF1 (3547),IGSF1,3547
GPC3 (2719),GPC3,2719
RBMX (27316),RBMX,27316
MCPH1 (79648),MCPH1,79648
MFHAS1 (9258),MFHAS1,9258
FBXO25 (26260),FBXO25,26260
MAGEA4 (4103),MAGEA4,4103
NSDHL (50814),NSDHL,50814
ZNF185 (7739),ZNF185,7739
CETN2 (1069),CETN2,1069
RPL10 (6134),RPL10,6134
CSGALNACT1 (55790),CSGALNACT1,55790
ATP6V1B2 (526),ATP6V1B2,526
CCDC25 (55246),CCDC25,55246
HMBOX1 (79618),HMBOX1,79618
GNRH1 (2796),GNRH1,2796
BIN3 (55909),BIN3,55909
SLC25A37 (51312),SLC25A37,51312
CHMP7 (91782),CHMP7,91782
DOCK5 (80005),DOCK5,80005
STAR (6770),STAR,6770
PLPBP (11212),PLPBP,11212
ERLIN2 (11160),ERLIN2,11160
PXDNL (137902),PXDNL,137902
ST18 (9705),ST18,9705
RGS20 (8601),RGS20,8601
TACC1 (6867),TACC1,6867
GOLGA7 (51125),GOLGA7,51125
PLPP5 (84513),PLPP5,84513
GINS4 (84296),GINS4,84296
NSD3 (54904),NSD3,54904
CRH (1392),CRH,1392
TRIM55 (84675),TRIM55,84675
ADHFE1 (137872),ADHFE1,137872
MRPS28 (28957),MRPS28,28957
LACTB2 (51110),LACTB2,51110
TERF1 (7013),TERF1,7013
RPL7 (6129),RPL7,6129
SLC26A7 (115111),SLC26A7,115111
ATP6V0D2 (245972),ATP6V0D2,245972
SYBU (55638),SYBU,55638
MTDH (92140),MTDH,92140
LRP12 (29967),LRP12,29967
EBAG9 (9166),EBAG9,9166
RSPO2 (340419),RSPO2,340419
POLR2K (5440),POLR2K,5440
MAL2 (114569),MAL2,114569
EIF3H (8667),EIF3H,8667
UTP23 (84294),UTP23,84294
NDUFB9 (4715),NDUFB9,4715
TATDN1 (83940),TATDN1,83940
FAM83A (84985),FAM83A,84985
GSDMC (56169),GSDMC,56169
FAM135B (51059),FAM135B,51059
ZNF7 (7553),ZNF7,7553
ARHGAP39 (80728),ARHGAP39,80728
SLC39A4 (55630),SLC39A4,55630
NAPRT (93100),NAPRT,93100
VLDLR (7436),VLDLR,7436
AK3 (50808),AK3,50808
UHRF2 (115426),UHRF2,115426
NFIB (4781),NFIB,4781
PLIN2 (123),PLIN2,123
HAUS6 (54801),HAUS6,54801
CDKN2B (1030),CDKN2B,1030
CDKN2A (1029),CDKN2A,1029
C9orf72 (203228),C9orf72,203228
ZCCHC7 (84186),ZCCHC7,84186
FBXO10 (26267),FBXO10,26267
SIGMAR1 (10280),SIGMAR1,10280
ZNG1E (220869),ZNG1E,220869
CEP78 (84131),CEP78,84131
NTRK2 (4915),NTRK2,4915
IDNK (414328),IDNK,414328
SHC3 (53358),SHC3,53358
AUH (549),AUH,549
MFSD14B (84641),MFSD14B,84641
AOPEP (84909),AOPEP,84909
ZNF462 (58499),ZNF462,58499
INIP (58493),INIP,58493
UGCG (7357),UGCG,7357
SNX30 (401548),SNX30,401548
STOM (2040),STOM,2040
GSN (2934),GSN,2934
MRRF (92399),MRRF,92399
NR6A1 (2649),NR6A1,2649
CRB2 (286204),CRB2,286204
ALAD (210),ALAD,210
ASTN2 (23245),ASTN2,23245
WDR31 (114987),WDR31,114987
POLE3 (54107),POLE3,54107
