gene_original,SYMBOL,ENTREZID
SPRTN (83932),SPRTN,83932
METTL13 (51603),METTL13,51603
DYRK4 (8798),DYRK4,8798
ZNF207 (7756),ZNF207,7756
UQCRC1 (7384),UQCRC1,7384
STARD3NL (83930),STARD3NL,83930
CD9 (928),CD9,928
NCAPD2 (9918),NCAPD2,9918
IFFO1 (25900),IFFO1,25900
GIPR (2696),GIPR,2696
PHF7 (51533),PHF7,51533
SEMA3G (56920),SEMA3G,56920
NISCH (11188),NISCH,11188
STAB1 (23166),STAB1,23166
FUZ (80199),FUZ,80199
SLC6A13 (6540),SLC6A13,6540
IDS (3423),IDS,3423
PRSS3 (5646),PRSS3,5646
ZNF200 (7752),ZNF200,7752
CD4 (920),CD4,920
LRRC23 (10233),LRRC23,10233
BTK (695),BTK,695
HFE (3077),HFE,3077
SCMH1 (22955),SCMH1,22955
FYN (2534),FYN,2534
HIVEP2 (3097),HIVEP2,3097
FMO1 (2326),FMO1,2326
ELOA (6924),ELOA,6924
LYPLA2 (11313),LYPLA2,11313
CLCN6 (1185),CLCN6,1185
MRC2 (9902),MRC2,9902
SLC6A7 (6534),SLC6A7,6534
TSPAN9 (10867),TSPAN9,10867
BTBD7 (55727),BTBD7,55727
APBA3 (9546),APBA3,9546
MKS1 (54903),MKS1,54903
ABHD5 (51099),ABHD5,51099
ANOS1 (3730),ANOS1,3730
AKAP8L (26993),AKAP8L,26993
MBTD1 (54799),MBTD1,54799
UTP18 (51096),UTP18,51096
RNF216 (54476),RNF216,54476
TTC19 (54902),TTC19,54902
PTBP1 (5725),PTBP1,5725
DPF1 (8193),DPF1,8193
SYT7 (9066),SYT7,9066
LARS2 (23395),LARS2,23395
PIK3C2A (5286),PIK3C2A,5286
PLAUR (5329),PLAUR,5329
ANLN (54443),ANLN,54443
WIZ (58525),WIZ,58525
RABGAP1 (23637),RABGAP1,23637
DCN (1634),DCN,1634
QPCTL (54814),QPCTL,54814
PPP5C (5536),PPP5C,5536
CEP68 (23177),CEP68,23177
MAP4K3 (8491),MAP4K3,8491
ZBTB32 (27033),ZBTB32,27033
LDAF1 (57146),LDAF1,57146
GABRA3 (2556),GABRA3,2556
BRCA1 (672),BRCA1,672
ERCC1 (2067),ERCC1,2067
CD22 (933),CD22,933
SEMA3B (7869),SEMA3B,7869
MBTPS2 (51360),MBTPS2,51360
PRICKLE3 (4007),PRICKLE3,4007
LTF (4057),LTF,4057
EXTL3 (2137),EXTL3,2137
ELOVL5 (60481),ELOVL5,60481
ALOX5 (240),ALOX5,240
KDM5D (8284),KDM5D,8284
CALCOCO1 (57658),CALCOCO1,57658
UBR7 (55148),UBR7,55148
MAP4K5 (11183),MAP4K5,11183
EHD3 (30845),EHD3,30845
PSMC4 (5704),PSMC4,5704
MAN2B2 (23324),MAN2B2,23324
CLDN11 (5010),CLDN11,5010
SLC25A39 (51629),SLC25A39,51629
MVP (9961),MVP,9961
NUB1 (51667),NUB1,51667
PGM3 (5238),PGM3,5238
RWDD2A (112611),RWDD2A,112611
CLK1 (1195),CLK1,1195
POLR3B (55703),POLR3B,55703
ANGEL1 (23357),ANGEL1,23357
RNF14 (9604),RNF14,9604
DNASE1L1 (1774),DNASE1L1,1774
DDX11 (1663),DDX11,1663
HEBP1 (50865),HEBP1,50865
GPRC5A (9052),GPRC5A,9052
MAMLD1 (10046),MAMLD1,10046
CD6 (923),CD6,923
TACC3 (10460),TACC3,10460
UFL1 (23376),UFL1,23376
POLA2 (23649),POLA2,23649
ZC3H3 (23144),ZC3H3,23144
CAPN1 (823),CAPN1,823
ACP3 (55),ACP3,55
MDH1 (4190),MDH1,4190
SLC30A9 (10463),SLC30A9,10463
MTMR11 (10903),MTMR11,10903
COX15 (1355),COX15,1355
CCDC88C (440193),CCDC88C,440193
YAF2 (10138),YAF2,10138
ZMYND11 (10771),ZMYND11,10771
WAS (7454),WAS,7454
DPEP1 (1800),DPEP1,1800
BID (637),BID,637
MATR3 (9782),MATR3,9782
NPC1L1 (29881),NPC1L1,29881
XYLT2 (64132),XYLT2,64132
RGPD5 (84220),RGPD5,84220
NUDCD3 (23386),NUDCD3,23386
ISL1 (3670),ISL1,3670
CHDH (55349),CHDH,55349
IL20RA (53832),IL20RA,53832
GLT8D1 (55830),GLT8D1,55830
ATP2C1 (27032),ATP2C1,27032
SLC38A5 (92745),SLC38A5,92745
RALBP1 (10928),RALBP1,10928
RUFY3 (22902),RUFY3,22902
CNTN1 (1272),CNTN1,1272
SLC11A1 (6556),SLC11A1,6556
WWTR1 (25937),WWTR1,25937
AGPS (8540),AGPS,8540
STEEP1 (63932),STEEP1,63932
ATP1A2 (477),ATP1A2,477
TTC27 (55622),TTC27,55622
ZNF582 (147948),ZNF582,147948
VSIG2 (23584),VSIG2,23584
PHLDB1 (23187),PHLDB1,23187
MARCO (8685),MARCO,8685
CYP24A1 (1591),CYP24A1,1591
PRDM11 (56981),PRDM11,56981
SYT13 (57586),SYT13,57586
SNAI2 (6591),SNAI2,6591
CD74 (972),CD74,972
HGF (3082),HGF,3082
ZRANB1 (54764),ZRANB1,54764
NCDN (23154),NCDN,23154
ADGRA2 (25960),ADGRA2,25960
ZFP64 (55734),ZFP64,55734
MNAT1 (4331),MNAT1,4331
SAMD4A (23034),SAMD4A,23034
RUNX3 (864),RUNX3,864
MRE11 (4361),MRE11,4361
PLEKHB1 (58473),PLEKHB1,58473
SERPINB1 (1992),SERPINB1,1992
SLC7A9 (11136),SLC7A9,11136
SPAST (6683),SPAST,6683
NRXN3 (9369),NRXN3,9369
OSBPL5 (114879),OSBPL5,114879
AQR (9716),AQR,9716
CPS1 (1373),CPS1,1373
FHL1 (2273),FHL1,2273
RTF2 (51507),RTF2,51507
NLRP2 (55655),NLRP2,55655
SLC45A4 (57210),SLC45A4,57210
RNF10 (9921),RNF10,9921
ZNF839 (55778),ZNF839,55778
ZDHHC6 (64429),ZDHHC6,64429
GRAMD1B (57476),GRAMD1B,57476
RNH1 (6050),RNH1,6050
NDUFS1 (4719),NDUFS1,4719
RB1CC1 (9821),RB1CC1,9821
ERP44 (23071),ERP44,23071
ALAS1 (211),ALAS1,211
BIRC3 (330),BIRC3,330
AKAP11 (11215),AKAP11,11215
GLRX2 (51022),GLRX2,51022
SNAPC1 (6617),SNAPC1,6617
DERA (51071),DERA,51071
STRAP (11171),STRAP,11171
ABCC2 (1244),ABCC2,1244
DEF6 (50619),DEF6,50619
PLEKHO1 (51177),PLEKHO1,51177
GCLM (2730),GCLM,2730
UBR2 (23304),UBR2,23304
EHD2 (30846),EHD2,30846
DEPDC1 (55635),DEPDC1,55635
CCDC28A (25901),CCDC28A,25901
RRAGD (58528),RRAGD,58528
HSF2 (3298),HSF2,3298
PHF20 (51230),PHF20,51230
HSD17B6 (8630),HSD17B6,8630
NR1H3 (10062),NR1H3,10062
TYMP (1890),TYMP,1890
NCAPH2 (29781),NCAPH2,29781
TOMM34 (10953),TOMM34,10953
SEC63 (11231),SEC63,11231
KPNA6 (23633),KPNA6,23633
VIM (7431),VIM,7431
FAS (355),FAS,355
RNASET2 (8635),RNASET2,8635
CD44 (960),CD44,960
KCNG1 (3755),KCNG1,3755
AGPAT4 (56895),AGPAT4,56895
SLAMF7 (57823),SLAMF7,57823
BTN3A1 (11119),BTN3A1,11119
MIPEP (4285),MIPEP,4285
PRKCH (5583),PRKCH,5583
IFNGR1 (3459),IFNGR1,3459
B4GALT7 (11285),B4GALT7,11285
SH2D2A (9047),SH2D2A,9047
VRK2 (7444),VRK2,7444
TNFRSF1B (7133),TNFRSF1B,7133
VEZT (55591),VEZT,55591
POU2F2 (5452),POU2F2,5452
BRD9 (65980),BRD9,65980
SNX1 (6642),SNX1,6642
TBPL1 (9519),TBPL1,9519
BMAL2 (56938),BMAL2,56938
BCLAF1 (9774),BCLAF1,9774
SLC39A9 (55334),SLC39A9,55334
ANK1 (286),ANK1,286
TFB1M (51106),TFB1M,51106
RABEP1 (9135),RABEP1,9135
HMGB3 (3149),HMGB3,3149
NUP160 (23279),NUP160,23279
BAK1 (578),BAK1,578
MUSK (4593),MUSK,4593
IKZF2 (22807),IKZF2,22807
GRN (2896),GRN,2896
FAM13B (51306),FAM13B,51306
ARHGAP31 (57514),ARHGAP31,57514
CENPQ (55166),CENPQ,55166
SARS1 (6301),SARS1,6301
RANBP3 (8498),RANBP3,8498
ARID4A (5926),ARID4A,5926
EIPR1 (7260),EIPR1,7260
PNPLA6 (10908),PNPLA6,10908
IFT88 (8100),IFT88,8100
ALG1 (56052),ALG1,56052
ZCCHC8 (55596),ZCCHC8,55596
ABCF2 (10061),ABCF2,10061
CHPF2 (54480),CHPF2,54480
LRRC7 (57554),LRRC7,57554
FUT8 (2530),FUT8,2530
UBA6 (55236),UBA6,55236
GAB2 (9846),GAB2,9846
ATP6V0A1 (535),ATP6V0A1,535
PIAS1 (8554),PIAS1,8554
SLC4A7 (9497),SLC4A7,9497
APBA2 (321),APBA2,321
MAP2K3 (5606),MAP2K3,5606
CLXN (79645),CLXN,79645
TMSB10 (9168),TMSB10,9168
ASTE1 (28990),ASTE1,28990
RNF19A (25897),RNF19A,25897
PEX3 (8504),PEX3,8504
GABARAPL2 (11345),GABARAPL2,11345
SH3YL1 (26751),SH3YL1,26751
FAM136A (84908),FAM136A,84908
VCL (7414),VCL,7414
DEPDC1B (55789),DEPDC1B,55789
DAPK2 (23604),DAPK2,23604
NSMAF (8439),NSMAF,8439
ADSS2 (159),ADSS2,159
TIMP2 (7077),TIMP2,7077
RFC1 (5981),RFC1,5981
TBC1D23 (55773),TBC1D23,55773
CUL3 (8452),CUL3,8452
MYOM2 (9172),MYOM2,9172
CYP46A1 (10858),CYP46A1,10858
ZZZ3 (26009),ZZZ3,26009
USP2 (9099),USP2,9099
