"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098719","sodium ion import across plasma membrane","8/1533","27/18805",0.296296296296296,3.63460655698099,4.08129387190628,0.00104076720046811,0.0314576967580718,0.02737003197435,"TRPM4/SLC9A2/SCNN1G/SLC9A9/SLC9C1/SCNN1B/SLC9A1/SCNN1A",8
"GO:0032970","regulation of actin filament-based process","50/1533","392/18805",0.127551020408163,1.5646424910473,3.36572941235719,0.0010457233875393,0.0314576967580718,0.02737003197435,"ZEB2/CCDC88A/ARHGEF26/STC1/EPHA5/TRPM4/SYNPO2L/RGS4/PDGFRB/S1PR1/TMEFF2/PDGFRA/PREX1/FERMT2/TGFB3/SMIM22/KANK4/PRKCD/RND1/SCIN/JAM3/LPAR1/ADD2/CDC42EP5/SPTBN4/WASF1/KCNJ2/SLC9A1/S100A10/SSH3/HIP1R/SYNPO/CYFIP2/EPHA1/LRP1/WASHC2A/ITGB3/RGCC/F11R/FSCN1/DVL3/XIRP2/PTGER4/RANGRF/MTSS1/FLNA/EDN1/KIRREL1/ELN/CTTN",50
"GO:0030323","respiratory tube development","30/1533","203/18805",0.147783251231527,1.81282716204101,3.46889609006114,0.00106405463227891,0.0314576967580718,0.02737003197435,"FGF2/COL3A1/HMGCS2/SPRY2/CCBE1/AGR2/LOX/BMP2/FBN1/PDGFRA/MME/TGFB3/ADAMTS2/CLDN18/TBX2/FOXA1/RXFP1/TRAF4/FOXJ1/TBX4/ERRFI1/SREBF1/ESRP2/CHI3L1/WNT2B/THRA/MAPK3/ANXA2/SMPD3/GLI2",30
"GO:0060840","artery development","20/1533","116/18805",0.172413793103448,2.11496502238118,3.58857551790252,0.00106637587649827,0.0314576967580718,0.02737003197435,"COL3A1/LOX/SLC2A10/PDGFRB/ADAMTS6/LRP2/EFEMP2/PRDM1/EGR2/HAND2/PRRX1/TBX2/COMT/HOXA1/LRP1/HEY2/EYA1/FOXC2/FOLR1/EDN1",20
"GO:0071695","anatomical structure maturation","38/1533","277/18805",0.137184115523466,1.68280971455889,3.41075236442157,0.00107246892013158,0.0314576967580718,0.02737003197435,"AKR1B1/FEM1B/FGFR3/RET/CEND1/BMP2/MMP2/ADAMTS12/XBP1/S1PR1/HOXB13/PHOSPHO1/RND1/B4GALT6/GATA2/BCL11A/EREG/TUT4/PDE3A/FOXA1/SPTBN4/GREM1/C1QL1/SIX3/PLA2G10/FOXJ1/BAIAP3/MSX2/NPR2/KIF14/PLXNB1/LYL1/LRRK2/CDK5R2/FAM210B/IL15/CDC25B/EDN1",38
"GO:0050818","regulation of coagulation","15/1533","76/18805",0.197368421052632,2.42107838088372,3.69821723162903,0.00107265611424517,0.0314576967580718,0.02737003197435,"F7/PROS1/FAP/PDGFRA/PRKCD/SERPINB2/HPSE/TFPI/SERPINE2/C1QTNF1/PLAUR/THBS1/ANXA2/CEACAM1/EDN1",15
"GO:0050807","regulation of synapse organization","42/1533","315/18805",0.133333333333333,1.63557295064144,3.38904324926799,0.00107531009194434,0.0314576967580718,0.02737003197435,"FLRT2/SRGAP2C/LRFN2/LIN7A/CNTNAP1/NTRK2/ST8SIA2/CDH2/NLGN1/FRMPD4/VSTM5/NECTIN3/LINGO2/SLITRK5/ABHD17C/NRP2/TUBA1A/NEUROD2/CAMK1/NEGR1/C1QL1/SLIT1/CBLN1/DISC1/CYFIP2/DKK1/LRTM2/FARP1/STRN4/MAP1B/AKT1/LIN7B/MUSK/PPP1R9B/IL1RAP/SEMA4A/SRCIN1/LRRK2/CLSTN2/SHANK2/NEDD4/RHOB",42
"GO:0030223","neutrophil differentiation","5/1533","11/18805",0.454545454545455,5.57581687718674,4.52251744888069,0.00108795301613769,0.0314576967580718,0.02737003197435,"LBR/FASN/CSF2/INPP5D/DHRS7B",5
"GO:0060920","cardiac pacemaker cell differentiation","5/1533","11/18805",0.454545454545455,5.57581687718674,4.52251744888069,0.00108795301613769,0.0314576967580718,0.02737003197435,"NKX2-5/ISL1/POPDC1/KCNJ8/TBX18",5
"GO:0061762","CAMKK-AMPK signaling cascade","5/1533","11/18805",0.454545454545455,5.57581687718674,4.52251744888069,0.00108795301613769,0.0314576967580718,0.02737003197435,"PCP4/KCNJ8/KCNJ11/LRRK2/PRKAA1",5
"GO:0048010","vascular endothelial growth factor receptor signaling pathway","19/1533","108/18805",0.175925925925926,2.15804764320746,3.59564845874418,0.00109661899733103,0.0315497285532139,0.0274501050068758,"ERBB2/EPHA5/FGFR3/RET/PDGFRB/XBP1/PDGFRA/NTRK2/ROS1/FGFR4/DDR2/EPHA1/ITGB3/DLL1/MUSK/FOXC2/SULF1/HIF1AN/NEDD4",19
"GO:0045638","negative regulation of myeloid cell differentiation","18/1533","100/18805",0.18,2.20802348336595,3.6084559212851,0.00111600500396821,0.0318855839417059,0.0277423187945692,"ZBTB46/TMEM178A/FBN1/GPR68/GATA2/CLDN18/HOXA9/RARA/TNFRSF11B/QKI/INPP5D/DLL1/SKIC8/CDK6/ZFP36/GABPA/CEACAM1/MYB",18
"GO:0010543","regulation of platelet activation","12/1533","54/18805",0.222222222222222,2.72595491773574,3.78389428659783,0.00112779714334187,0.0318855839417059,0.0277423187945692,"IL6/PDGFRA/PRKCD/PLA2G4A/SVEP1/SERPINE2/C1QTNF1/JAK2/PRKCQ/F11R/CEACAM1/FLNA",12
"GO:0045216","cell-cell junction organization","32/1533","222/18805",0.144144144144144,1.76818697366643,3.43012854976047,0.00113245486567102,0.0318855839417059,0.0277423187945692,"POF1B/BMP6/CDH6/CNTNAP1/FERMT2/TGFB3/CDH2/JAM3/ABCC8/SVEP1/CLDN18/CLDN4/MARVELD2/CDH26/CLDN1/CDH1/CDH13/GJB1/UGT8/TLN1/TRPV4/PARD6B/CDH7/F11R/GJC1/FSCN1/GNPAT/XIRP2/MTSS1/FLNA/KIRREL1/CAMSAP3",32
"GO:0048934","peripheral nervous system neuron differentiation","6/1533","16/18805",0.375,4.60004892367906,4.29181946273071,0.00113792406962947,0.0318855839417059,0.0277423187945692,"ISL1/NTRK2/VCAM1/HAND2/ETV1/ISL2",6
"GO:0055078","sodium ion homeostasis","11/1533","47/18805",0.234042553191489,2.87095251974296,3.82598544493599,0.00114154158706837,0.0318855839417059,0.0277423187945692,"SLC12A1/SCNN1G/ATP1A4/AGTR1/SCNN1B/COMT/ATP1B3/SLC9A1/SLC9B2/SCNN1A/EDN1",11
"GO:1903307","positive regulation of regulated secretory pathway","11/1533","47/18805",0.234042553191489,2.87095251974296,3.82598544493599,0.00114154158706837,0.0318855839417059,0.0277423187945692,"NLGN1/GATA2/SLC4A8/AP1G1/KLRC2/RAB15/RAB3D/VAMP7/CDK5R2/RPH3AL/SCAMP5",11
"GO:1904018","positive regulation of vasculature development","29/1533","195/18805",0.148717948717949,1.82429290648469,3.4470736739926,0.00115573136602941,0.0321259820296291,0.0279514791601113,"FGF2/HMGA2/CXCL8/ISL1/CCBE1/ITGB8/XBP1/TNFSF12/GATA2/CD40/CLIC3/BMPER/ADM/EMP2/GREM1/PAK4/STAT3/EPHA1/ITGB3/DLL1/CAMP/CYSLTR1/CHI3L1/FOXC2/SMOC2/THBS1/GRN/PDPK1/RHOB",29
"GO:0060055","angiogenesis involved in wound healing","9/1533","34/18805",0.264705882352941,3.2470933578911,3.90698508875087,0.00125185175687275,0.0346305529281048,0.0301306020024636,"XBP1/GATA2/HPSE/MCAM/GPR4/NPR2/ITGB3/FOXC2/SMOC2",9
"GO:0045599","negative regulation of fat cell differentiation","13/1533","62/18805",0.209677419354839,2.57207036592808,3.69379813219342,0.0012656623800956,0.0347507547067112,0.0302351845645352,"IL6/BMP2/LRP3/FERMT2/GATA2/CCDC85B/MSX2/BBS12/TRIB2/TRPV4/TRIO/ANKRD26/WWTR1",13
"GO:1903305","regulation of regulated secretory pathway","21/1533","126/18805",0.166666666666667,2.0444661883018,3.50451344909936,0.00126827571922304,0.0347507547067112,0.0302351845645352,"SYT11/NLGN1/GATA2/IL13RA2/SLC4A8/AP1G1/KLRC2/RAB15/HTR1B/BAIAP3/FBXL20/SYT17/RAB3D/VAMP7/LRRK2/CDK5R2/RPH3AL/P2RY1/SCAMP5/CEACAM1/PDPK1",21
"GO:0008543","fibroblast growth factor receptor signaling pathway","22/1533","135/18805",0.162962962962963,1.99903360633954,3.47056119810299,0.00133271394099358,0.0361245166196654,0.0314304375982161,"FGF2/ERBB2/FLRT2/EPHA5/FGFR3/SPRY2/RET/FGF5/PDGFRB/PDGFRA/NTRK2/ROS1/FGFR4/DDR2/TBX2/CEP57/EPHA1/FGF22/MUSK/SMOC2/THBS1/SULF1",22
"GO:0031547","brain-derived neurotrophic factor receptor signaling pathway","12/1533","55/18805",0.218181818181818,2.67639210104964,3.70920809195615,0.00133724748696363,0.0361245166196654,0.0314304375982161,"ERBB2/EPHA5/FGFR3/RET/PDGFRB/PDGFRA/NTRK2/ROS1/FGFR4/DDR2/EPHA1/MUSK",12
"GO:0035790","platelet-derived growth factor receptor-alpha signaling pathway","12/1533","55/18805",0.218181818181818,2.67639210104964,3.70920809195615,0.00133724748696363,0.0361245166196654,0.0314304375982161,"ERBB2/EPHA5/FGFR3/RET/PDGFRB/PDGFRA/NTRK2/ROS1/FGFR4/DDR2/EPHA1/MUSK",12
"GO:0060113","inner ear receptor cell differentiation","14/1533","70/18805",0.2,2.45335942596217,3.62927675361343,0.00135928362763222,0.0364779468326415,0.0317379425088347,"FGF2/TSKU/CTHRC1/MYCL/PDZD7/OTOGL/TPRN/CECR2/DLL1/HEY2/USH1C/JAG2/ADGRV1/POU4F3",14
"GO:0061383","trabecula morphogenesis","11/1533","48/18805",0.229166666666667,2.81114100891498,3.7429676858555,0.00137348716171385,0.0364779468326415,0.0317379425088347,"NKX2-5/MMP2/SLC40A1/S1PR1/BMP5/TGFBR3/GREM1/MSX2/MED1/CHAD/HEY2",11
