Compuesto completo,Compuesto,n,Líneas celulares,Rho de Spearman,p-valor_Spearman,FDR_Spearman,n HER2-high,n HER2-low,Mediana AUC HER2-high,Mediana AUC HER2-low,Diferencia de medianas,p-valor_MannWhitney,Criterio n>=3,FDR_MannWhitney
ALFACALCIDOL (BRD:BRD-K49522529-001-02-9),ALFACALCIDOL,14.0,14.0,-0.13406593406593406,0.6477195279851133,0.8799020664782387,3.0,3.0,0.808027921761117,0.921285752795211,-0.11325783103409393,0.4,Sí,0.7268978084688055
ALISERTIB (BRD:BRD-K75295174-001-05-0),ALISERTIB,18.0,18.0,0.18885448916408668,0.4529458223784956,0.7826832899417057,3.0,5.0,0.80912024250599,0.72626415776179,0.08285608474420003,0.5714285714285714,Sí,0.8669950738916256
ALPELISIB (BRD:BRD-K54997624-001-06-0),ALPELISIB,15.0,15.0,-0.8107142857142855,0.0002460079779722061,0.06918380437820139,,,,,,,,
ALVESPIMYCIN (BRD:BRD-K83988098-001-02-0),ALVESPIMYCIN,17.0,17.0,-0.03431372549019608,0.8959808104551742,0.9746808320652924,3.0,5.0,0.8582143046952848,0.8511630653660056,0.007051239329279202,0.7857142857142857,Sí,0.9834323226008127
ALVOCIDIB (BRD:BRD-K87909389-003-03-4),ALVOCIDIB,21.0,21.0,-0.044155844155844164,0.8492705803407119,0.9639855930264206,5.0,5.0,0.6346541982263048,0.7190515851421373,-0.08439738691583254,0.8412698412698413,Sí,1.0
AM-251 (BRD:BRD-K92000912-001-12-6),AM-251,16.0,16.0,0.12058823529411765,0.6564245147485953,0.8849203763710071,3.0,3.0,0.907011131526714,0.879250681146171,0.027760450380542978,0.7,Sí,0.9268518518518518
AM-580 (BRD:BRD-K06854232-001-19-9),AM-580,15.0,15.0,-0.1357142857142857,0.6296204418728145,0.8680420365534922,3.0,4.0,0.955663696729747,0.943309530601757,0.012354166127990007,0.8571428571428571,Sí,1.0
AMFENAC (BRD:BRD-K82122102-323-01-1),AMFENAC,17.0,17.0,-0.12254901960784316,0.639378272107459,0.8725981673429464,4.0,3.0,0.9187006060172564,0.907843705801418,0.010856900215838405,1.0,Sí,1.0
AMG 706 (BRD:BRD-K99616396-001-05-1),AMG 706,16.0,16.0,0.06176470588235294,0.8202418775044894,0.949244531895759,3.0,3.0,0.8693409765678007,0.90164693491612,-0.032305958348319286,1.0,Sí,1.0
AMG900 (BRD:BRD-K21728777-001-02-3),AMG900,19.0,19.0,0.20526315789473687,0.3992226299118769,0.7734882591591963,3.0,4.0,0.915665647724637,0.656437605616015,0.25922804210862194,0.6285714285714286,Sí,0.8921658986175115
AMINOGLUTETHIMIDE (BRD:BRD-A25234499-001-19-1),AMINOGLUTETHIMIDE,11.0,11.0,-0.2545454545454546,0.45003657688882837,0.780776068598229,,,,,,,,
AMINOPURVALANOL-A (BRD:BRD-K07762753-001-04-4),AMINOPURVALANOL-A,14.0,14.0,0.24835164835164836,0.3919195389384575,0.7690332286281288,4.0,5.0,0.9046895633725075,0.886998915457736,0.017690647914771485,0.9047619047619049,Sí,1.0
AMSACRINE (BRD:BRD-K68346641-001-01-4),AMSACRINE,19.0,19.0,0.3368421052631579,0.1584830429639541,0.5687870218257833,4.0,3.0,0.7915373791845326,0.634424321255811,0.15711305792872154,0.05714285714285714,Sí,0.38228905597326646
ANAGRELIDE (BRD:BRD-K62200014-003-10-5),ANAGRELIDE,14.0,14.0,0.17362637362637365,0.5527669411422413,0.8343473658608532,,,,,,,,
ANGUIDINE (BRD:BRD-K45724504-001-01-6),ANGUIDINE,20.0,20.0,0.3293233082706767,0.15623105162611658,0.5677037801887282,4.0,4.0,0.7212635235594115,0.5903855324024145,0.13087799115699694,0.11428571428571428,Sí,0.42448979591836733
ANISOMYCIN (BRD:BRD-K91370081-001-25-1),ANISOMYCIN,22.0,22.0,0.4703557312252965,0.027168310320796737,0.28755148979330303,5.0,5.0,0.779473011055774,0.69239233804205,0.08708067301372402,0.2222222222222222,Sí,0.5889317889317889
APATINIB (BRD:BRD-K25244359-066-03-4),APATINIB,12.0,12.0,-0.09090909090909093,0.7787253962454419,0.9382723639905493,,,,,,,,
APHIDICOLIN (BRD:BRD-K85140930-001-12-7),APHIDICOLIN,15.0,15.0,0.2071428571428571,0.4588428049634703,0.789039768533424,3.0,4.0,0.798555263904307,0.7638450941788706,0.03471016972543639,0.4,Sí,0.7268978084688055
AR 42 (BRD:BRD-K13167095-001-02-9),AR 42,21.0,21.0,0.04675324675324675,0.8405105142403159,0.9601174438217321,5.0,5.0,0.757724186867678,0.711921183141291,0.045803003726386904,0.8412698412698413,Sí,1.0
AR-12 (BRD:BRD-K90497590-001-04-2),AR-12,20.0,20.0,0.38947368421052625,0.08961904769837135,0.4396312173203439,4.0,4.0,0.901654634749476,0.7655344230723624,0.13612021167711363,0.11428571428571428,Sí,0.42448979591836733
ARCTIGENIN (BRD:BRD-K53523901-001-04-4),ARCTIGENIN,16.0,16.0,-0.1647058823529412,0.542148135201078,0.8343473658608532,3.0,4.0,0.896182022348215,0.9135234173940515,-0.01734139504583654,1.0,Sí,1.0
ARCYRIAFLAVIN-A (BRD:BRD-K72726508-001-02-1),ARCYRIAFLAVIN-A,13.0,13.0,0.1758241758241758,0.5655798619595344,0.8379312384400485,,,,,,,,
ARRY-334543 (BRD:BRD-K46386702-001-02-1),ARRY-334543,22.0,22.0,-0.5957086391869001,0.003440717848619222,0.15190769301653867,5.0,5.0,0.7873768277131858,0.91098027333841,-0.12360344562522418,0.09523809523809523,Sí,0.42448979591836733
ARRY-886 (BRD:BRD-K57080016-001-15-9),ARRY-886,12.0,12.0,0.11188811188811189,0.729194990751066,0.9212238582232287,,,,,,,,
ARTEMISININ (BRD:BRD-K13112821-001-17-4),ARTEMISININ,11.0,11.0,-0.36363636363636365,0.27163754099382253,0.6853027105644152,,,,,,,,
AS-703026 (BRD:BRD-K89014967-001-04-3),AS-703026,10.0,10.0,0.24848484848484845,0.4887763045192432,0.804321107938609,,,,,,,,
ASP-4130 (BRD:BRD-K53414658-001-08-2),ASP-4130,10.0,10.0,0.006060606060606061,0.9867429111949892,0.9957645606687721,,,,,,,,
ASP-7487 (BRD:BRD-K86118762-001-01-8),ASP-7487,14.0,14.0,0.35824175824175825,0.20849812479076704,0.6306617630108551,,,,,,,,
ASPIRIN (BRD:BRD-K11433652-001-17-0),ASPIRIN,12.0,12.0,0.0979020979020979,0.7621216559962992,0.9346575308954613,,,,,,,,
AST-1306 (BRD:BRD-K26838195-075-04-9),AST-1306,14.0,14.0,-0.5604395604395604,0.0371044770040744,0.3270828544447713,,,,,,,,
ASYMMETRICAL-DIMETHYLARGININE (BRD:BRD-K36269323-300-02-6),ASYMMETRICAL-DIMETHYLARGININE,19.0,19.0,0.32631578947368417,0.17272947700679211,0.5932199448549884,5.0,4.0,0.86696866398072,0.8258911656844845,0.041077498296235526,0.19047619047619047,Sí,0.5691542288557214
AT-7519 (BRD:BRD-K13390322-001-06-3),AT-7519,22.0,22.0,0.3551665725578769,0.10479718977207556,0.4737083652396287,5.0,5.0,0.806734871999732,0.7224846671147174,0.08425020488501467,0.30952380952380953,Sí,0.7081904761904761
AT-9283 (BRD:BRD-K24576554-001-04-8),AT-9283,17.0,17.0,0.2058823529411765,0.42791485314270766,0.7784837999874641,3.0,4.0,0.901151621587262,0.7546421908769105,0.1465094307103515,0.05714285714285714,Sí,0.38228905597326646
AT13387 (BRD:BRD-K58435339-001-03-0),AT13387,15.0,15.0,0.4678571428571427,0.07863023115438063,0.41825598861034996,3.0,4.0,0.8928155981297391,0.6432032776489056,0.24961232048083348,0.22857142857142856,Sí,0.5889317889317889
ATIPAMEZOLE (BRD:BRD-K39252998-003-01-5),ATIPAMEZOLE,13.0,13.0,-0.2912087912087912,0.33438585619752936,0.7346111921701703,3.0,3.0,0.881433277136174,0.902508870136298,-0.02107559300012396,0.7,Sí,0.9268518518518518
ATIPRIMOD (BRD:BRD-K38527262-300-01-0),ATIPRIMOD,16.0,16.0,0.11176470588235293,0.6802736949858407,0.9012497368630407,4.0,3.0,0.8875761816107206,0.8788690787686755,0.008707102842045122,0.6285714285714286,Sí,0.8921658986175115
AURORA-A-INHIBITOR-I (BRD:BRD-K53561341-001-07-5),AURORA-A-INHIBITOR-I,21.0,21.0,0.26493506493506497,0.24579261871540742,0.6680064625656237,4.0,5.0,0.896596604906285,0.870242497339387,0.026354107566898044,0.06349206349206349,Sí,0.38228905597326646
AUY (BRD:BRD-K41859756-001-06-8),AUY,16.0,16.0,-0.023529411764705882,0.931073583667659,0.9826561405588721,,,,,,,,
AV-412 (BRD:BRD-K23190681-001-01-1),AV-412,21.0,21.0,0.5103896103896104,0.018076642193560668,0.2477711115369701,5.0,4.0,0.895715650364685,0.835981171935742,0.05973447842894308,0.1111111111111111,Sí,0.42448979591836733
AVL-292 (BRD:BRD-K87782578-001-01-4),AVL-292,17.0,17.0,-0.02696078431372549,0.9181909009189737,0.9785339457396024,4.0,5.0,0.8876642740212983,0.8837869834264949,0.003877290594803462,1.0,Sí,1.0
AVN-944 (BRD:BRD-K62196610-001-01-6),AVN-944,10.0,10.0,0.6121212121212121,0.05997214247725527,0.3782528700529743,,,,,,,,
AZ 960 (BRD:BRD-K64888243-001-03-7),AZ 960,19.0,19.0,0.3719298245614035,0.11687923396377863,0.5051310020891897,4.0,4.0,0.840314527417742,0.799057454207469,0.041257073210273054,0.34285714285714286,Sí,0.7268978084688055
AZ-10353926 (BRD:BRD-K19540840-001-09-4),AZ-10353926,17.0,17.0,-0.5392156862745099,0.025503680315881874,0.27802160146819377,3.0,5.0,0.828852780448847,0.9002252178543025,-0.07137243740545551,0.03571428571428571,Sí,0.38228905597326646
AZ20 (BRD:BRD-K42436189-001-01-2),AZ20,19.0,19.0,0.019298245614035085,0.9374978309415845,0.9843169854000227,3.0,4.0,0.839451262369064,0.833537121446658,0.005914140922405942,0.8571428571428571,Sí,1.0
AZ3146 (BRD:BRD-K59146805-001-03-7),AZ3146,14.0,14.0,-0.3054945054945055,0.2881698858754571,0.7068166923000795,,,,,,,,
AZACITIDINE (BRD:BRD-K03406345-001-21-1),AZACITIDINE,12.0,12.0,-0.2447552447552448,0.44326193645018325,0.780776068598229,,,,,,,,
AZALOMYCIN-B (BRD:BRD-K96104201-001-01-5),AZALOMYCIN-B,22.0,22.0,0.13495200451722192,0.549318075362681,0.8343473658608532,5.0,5.0,0.786842843739952,0.761849048969231,0.024993794770720945,0.42063492063492064,Sí,0.7268978084688055
AZD 2171 (BRD:BRD-K86930074-001-05-0),AZD 2171,16.0,16.0,0.1764705882352941,0.5132505967364671,0.8207631080131814,3.0,5.0,0.799963436527462,0.812897133357088,-0.012933696829625974,0.7857142857142857,Sí,0.9834323226008127
AZD-8055 (BRD:BRD-K69932463-001-10-6),AZD-8055,21.0,21.0,-0.32987012987012987,0.14419837372344504,0.5572774934626994,5.0,4.0,0.621903264172496,0.6601167572348614,-0.03821349306236543,0.4126984126984127,Sí,0.7268978084688055
AZD1480 (BRD:BRD-K65928735-001-04-3),AZD1480,10.0,10.0,0.6969696969696969,0.02509667588225185,0.2777820489415888,,,,,,,,
AZD2461 (BRD:BRD-K85014146-001-02-5),AZD2461,13.0,13.0,0.13736263736263735,0.6545168402947127,0.8849203763710071,,,,,,,,
AZD2858 (BRD:BRD-K85849709-001-01-5),AZD2858,20.0,20.0,0.030075187969924807,0.8998365956859304,0.9746808320652924,3.0,5.0,0.858676934699263,0.857620898855096,0.0010560358441670248,0.7857142857142857,Sí,0.9834323226008127
AZD3463 (BRD:BRD-K24593301-001-02-3),AZD3463,21.0,21.0,0.14415584415584418,0.5330058743165694,0.8321425717379879,5.0,4.0,0.804068955490013,0.785976459875227,0.018092495614785986,0.9047619047619049,Sí,1.0
AZD5438 (BRD:BRD-K72414522-001-06-7),AZD5438,21.0,21.0,0.5142857142857142,0.017071353141816504,0.24532142067760862,5.0,4.0,0.879775017538697,0.8134171171365201,0.06635790040217693,0.015873015873015872,Sí,0.38228905597326646
AZD7762 (BRD:BRD-K86525559-001-07-8),AZD7762,21.0,21.0,0.4623376623376624,0.0348387956901551,0.3204443395250724,5.0,4.0,0.70510324726337,0.5448740142648605,0.16022923299850955,0.1111111111111111,Sí,0.42448979591836733
