Compuesto completo,Compuesto,n,Líneas celulares,Rho de Spearman,p-valor,FDR
PARBENDAZOLE (BRD:BRD-K02407574-001-09-7),PARBENDAZOLE,20,20,0.4842105263157894,0.030508493550666576,0.3061249977868021
BNTX (BRD:BRD-A55484088-050-02-5),BNTX,21,21,0.4714285714285714,0.030978075295294817,0.307344275120734
BX-912 (BRD:BRD-K49669041-001-08-4),BX-912,18,18,0.5067079463364293,0.03187313226051144,0.31032670559076486
METHIAZOLE (BRD:BRD-K02764365-001-13-6),METHIAZOLE,19,19,0.4929824561403509,0.03198157441535629,0.31032670559076486
CMPD-1 (BRD:BRD-K54095730-001-03-1),CMPD-1,22,22,0.45454545454545453,0.033562881866437376,0.31547598093781004
HALOFUGINONE (BRD:BRD-K54247840-004-01-3),HALOFUGINONE,20,20,0.4766917293233082,0.03358407951093335,0.31547598093781004
PACRITINIB (BRD:BRD-K19034817-001-01-4),PACRITINIB,20,20,0.4766917293233082,0.03358407951093335,0.31547598093781004
BALAPIRAVIR (BRD:BRD-K47976015-001-01-2),BALAPIRAVIR,17,17,0.5147058823529412,0.03450769883204253,0.3204443395250724
AZD7762 (BRD:BRD-K86525559-001-07-8),AZD7762,21,21,0.4623376623376624,0.0348387956901551,0.3204443395250724
CYCLOCYTIDINE (BRD:BRD-K67536197-003-11-4),CYCLOCYTIDINE,18,18,0.49638802889576883,0.03614032375695943,0.3270828544447713
RUBITECAN (BRD:BRD-K79821389-001-03-5),RUBITECAN,22,22,0.4477696216826652,0.03664259102857066,0.3270828544447713
AST-1306 (BRD:BRD-K26838195-075-04-9),AST-1306,14,14,-0.5604395604395604,0.0371044770040744,0.3270828544447713
HALOFANTRINE (BRD:BRD-A51964809-003-12-6),HALOFANTRINE,14,14,0.5604395604395604,0.0371044770040744,0.3270828544447713
TANAPROGET (BRD:BRD-K99604664-001-01-1),TANAPROGET,16,16,0.5235294117647059,0.037412648130149384,0.3270828544447713
CHLORAMBUCIL (BRD:BRD-K29458283-001-29-9),CHLORAMBUCIL,12,12,0.6013986013986015,0.03858845292201946,0.3340549404915999
RIGOSERTIB (BRD:BRD-K55187425-236-05-2),RIGOSERTIB,13,13,0.576923076923077,0.038992623432448296,0.334276567872348
NEMORUBICIN (BRD:BRD-K51911221-001-01-2),NEMORUBICIN,22,22,0.4409937888198759,0.0399399990443038,0.3391059534242332
OLAPARIB (BRD:BRD-K02113016-001-19-6),OLAPARIB,14,14,0.5516483516483517,0.04084905835112285,0.343521128800395
YM 201636 (BRD:BRD-K48488978-001-05-3),YM 201636,17,17,0.49509803921568635,0.04331441650993542,0.3525300458925629
BERZOSERTIB (BRD:BRD-K04701033-001-03-9),BERZOSERTIB,22,22,0.4330886504799548,0.044075426333464486,0.3525300458925629
PUROMYCIN (BRD:BRD-A28970875-300-04-9),PUROMYCIN,21,21,0.44285714285714284,0.04437704849154563,0.3525300458925629
CIS-DDP (BRD:BRD-K69172251-001-08-9),CIS-DDP,17,17,-0.4926470588235295,0.0445245262088992,0.3525300458925629
PFI-1 (BRD:BRD-K13094524-001-07-5),PFI-1,20,20,-0.4526315789473684,0.045075688783048344,0.3525300458925629
PODOPHYLLOTOXIN (BRD:BRD-K47869605-001-32-0),PODOPHYLLOTOXIN,22,22,0.43083003952569177,0.04531612548785277,0.3525300458925629
GENIPIN (BRD:BRD-K28824103-001-02-8),GENIPIN,18,18,0.4757481940144479,0.0459785720312123,0.3525300458925629
PHA-767491 (BRD:BRD-K50000283-001-04-4),PHA-767491,22,22,0.4285714285714286,0.04658379774023283,0.3525300458925629
KP-1212 (BRD:BRD-K46690591-001-01-2),KP-1212,18,18,0.47368421052631576,0.047064111171724266,0.3525300458925629
ZK-811752 (BRD:BRD-K91825936-001-01-2),ZK-811752,19,19,0.45964912280701753,0.04770770316578596,0.3525300458925629
ORIDONIN (BRD:BRD-K23925186-001-02-8),ORIDONIN,21,21,0.43636363636363634,0.04796935978332507,0.3525300458925629
