Compuesto completo,Compuesto,n HER2-high,n HER2-low,Mediana AUC HER2-high,Mediana AUC HER2-low,Diferencia de medianas,p-valor,Criterio n>=3,FDR
TIVANTINIB (BRD:BRD-K33379087-001-07-5),TIVANTINIB,3,5,0.9664301581172592,0.812899038901454,0.1535311192158052,0.03571428571428571,Sí,0.38228905597326646
TRIAPINE (BRD:BRD-K01669786-001-02-2),TRIAPINE,3,5,0.867464828757633,0.800624954759516,0.06683987399811697,0.03571428571428571,Sí,0.38228905597326646
CABAZITAXEL (BRD:BRD-K06858286-001-01-3),CABAZITAXEL,5,5,0.502675031021815,0.335904899761882,0.166770131259933,0.05555555555555555,Sí,0.38228905597326646
DACOMITINIB (BRD:BRD-K57169635-001-04-5),DACOMITINIB,5,5,0.6898761733636252,0.8240575019647307,-0.13418132860110554,0.05555555555555555,Sí,0.38228905597326646
PD-168393 (BRD:BRD-K17702546-001-03-2),PD-168393,5,5,0.692022417998771,0.845949738432355,-0.15392732043358404,0.05555555555555555,Sí,0.38228905597326646
PHA-767491 (BRD:BRD-K50000283-001-04-4),PHA-767491,5,5,0.901860902244737,0.860359604598509,0.04150129764622801,0.05555555555555555,Sí,0.38228905597326646
PIRENPERONE (BRD:BRD-K25224017-001-25-0),PIRENPERONE,5,5,0.778668786302717,0.729748864624165,0.04891992167855197,0.05555555555555555,Sí,0.38228905597326646
PODOPHYLLOTOXIN (BRD:BRD-K47869605-001-32-0),PODOPHYLLOTOXIN,5,5,0.618436485529126,0.458305319436066,0.16013116609306,0.05555555555555555,Sí,0.38228905597326646
TAK-901 (BRD:BRD-K01683783-001-02-6),TAK-901,5,5,0.885967659000781,0.722483970096204,0.16348368890457698,0.05555555555555555,Sí,0.38228905597326646
A-154475 (BRD:BRD-A27376179-001-01-3),A-154475,3,4,0.804503013831474,0.6908143080838035,0.11368870574767054,0.05714285714285714,Sí,0.38228905597326646
ABT-751 (BRD:BRD-K91623615-001-05-0),ABT-751,4,4,0.7736090035911355,0.583575401788204,0.1900336018029315,0.05714285714285714,Sí,0.38228905597326646
AMSACRINE (BRD:BRD-K68346641-001-01-4),AMSACRINE,4,3,0.7915373791845326,0.634424321255811,0.15711305792872154,0.05714285714285714,Sí,0.38228905597326646
AT-9283 (BRD:BRD-K24576554-001-04-8),AT-9283,3,4,0.901151621587262,0.7546421908769105,0.1465094307103515,0.05714285714285714,Sí,0.38228905597326646
BX-912 (BRD:BRD-K49669041-001-08-4),BX-912,3,4,0.933344006007419,0.743173551121023,0.19017045488639595,0.05714285714285714,Sí,0.38228905597326646
CRIZOTINIB-(S) (BRD:BRD-K40308497-001-01-2),CRIZOTINIB-(S),4,4,0.8798262562451744,0.839147880203666,0.04067837604150837,0.05714285714285714,Sí,0.38228905597326646
DAPIVIRINE (BRD:BRD-K12885236-001-02-7),DAPIVIRINE,4,3,0.8873622011480995,0.758176256681432,0.12918594446666753,0.05714285714285714,Sí,0.38228905597326646
ENDO-IWR-1 (BRD:BRD-K61314889-001-04-4),ENDO-IWR-1,4,3,0.8743039263947675,0.833842934767401,0.040460991627366494,0.05714285714285714,Sí,0.38228905597326646
HA14-1 (BRD:BRD-K18163608-001-05-6),HA14-1,4,4,0.9303178115897559,0.8676770379130395,0.06264077367671639,0.05714285714285714,Sí,0.38228905597326646
JNJ-7706621 (BRD:BRD-K11636097-001-03-1),JNJ-7706621,4,4,0.912431699207512,0.849875911451867,0.06255578775564496,0.05714285714285714,Sí,0.38228905597326646
K-858 (BRD:BRD-A67748489-001-10-0),K-858,3,4,0.808680612376926,0.712460926170229,0.09621968620669696,0.05714285714285714,Sí,0.38228905597326646
LY2334737 (BRD:BRD-K04993719-001-01-7),LY2334737,4,4,0.8438329010789195,0.8208304175700536,0.023002483508865912,0.05714285714285714,Sí,0.38228905597326646
MPI-0479605 (BRD:BRD-K45551181-001-02-1),MPI-0479605,3,4,0.774483724840017,0.5657317915805296,0.2087519332594875,0.05714285714285714,Sí,0.38228905597326646
OSIMERTINIB (BRD:BRD-K42805893-001-04-9),OSIMERTINIB,4,4,0.6791938456654438,0.9244276715179596,-0.24523382585251574,0.05714285714285714,Sí,0.38228905597326646
PF-03758309 (BRD:BRD-K37764012-001-04-1),PF-03758309,3,4,0.604099389543367,0.414790641598931,0.18930874794443597,0.05714285714285714,Sí,0.38228905597326646
SANGIVAMYCIN (BRD:BRD-A64064900-001-02-3),SANGIVAMYCIN,3,4,0.032114079194371,0.0101880955334512,0.0219259836609198,0.05714285714285714,Sí,0.38228905597326646
SPIRADOLINE (BRD:BRD-K28192623-066-08-1),SPIRADOLINE,4,3,0.8763139950728035,0.738682049003092,0.13763194606971152,0.05714285714285714,Sí,0.38228905597326646
TANAPROGET (BRD:BRD-K99604664-001-01-1),TANAPROGET,4,4,0.9223073190359334,0.801059627453832,0.12124769158210147,0.05714285714285714,Sí,0.38228905597326646
THONZONIUM (BRD:BRD-K13387373-004-14-5),THONZONIUM,4,4,0.8660144615252225,0.8112856370495525,0.05472882447567007,0.05714285714285714,Sí,0.38228905597326646
TIPIFARNIB (BRD:BRD-K62965247-001-04-9),TIPIFARNIB,4,3,0.8618159706591051,0.662278042252559,0.19953792840654605,0.05714285714285714,Sí,0.38228905597326646
VX-765 (BRD:BRD-K26712974-001-01-5),VX-765,3,4,0.987702524614251,0.858499545731952,0.12920297888229904,0.05714285714285714,Sí,0.38228905597326646
ZM 447439 (BRD:BRD-K72703948-001-10-1),ZM 447439,3,4,0.891873532475712,0.8208162182241555,0.07105731425155648,0.05714285714285714,Sí,0.38228905597326646
9-AMINOACRIDINE (BRD:BRD-K00535541-001-06-3),9-AMINOACRIDINE,5,4,0.854149156823581,0.835882269406738,0.018266887416842903,0.06349206349206349,Sí,0.38228905597326646
AURORA-A-INHIBITOR-I (BRD:BRD-K53561341-001-07-5),AURORA-A-INHIBITOR-I,4,5,0.896596604906285,0.870242497339387,0.026354107566898044,0.06349206349206349,Sí,0.38228905597326646
BARDOXOLONE-METHYL (BRD:BRD-K69694239-001-02-2),BARDOXOLONE-METHYL,4,5,0.884289586908812,0.6834669301891576,0.20082265671965438,0.06349206349206349,Sí,0.38228905597326646
BI-2536 (BRD:BRD-K64890080-001-13-8),BI-2536,4,5,0.6625063930765129,0.4713849419544,0.19112145112211293,0.06349206349206349,Sí,0.38228905597326646
BORTEZOMIB (BRD:BRD-K88510285-001-17-8),BORTEZOMIB,4,5,0.8343787256863757,0.5972467476146853,0.2371319780716904,0.06349206349206349,Sí,0.38228905597326646
CARFILZOMIB (BRD:BRD-K15179879-001-03-2),CARFILZOMIB,4,5,0.6894507412337432,0.442249221396922,0.24720151983682115,0.06349206349206349,Sí,0.38228905597326646
COMBRETASTATIN-A-4 (BRD:BRD-K61195623-001-01-4),COMBRETASTATIN-A-4,4,5,0.6845338257894225,0.481285636195958,0.20324818959346447,0.06349206349206349,Sí,0.38228905597326646
GENIPIN (BRD:BRD-K28824103-001-02-8),GENIPIN,4,5,0.9368982587066506,0.797229072999745,0.13966918570690556,0.06349206349206349,Sí,0.38228905597326646
HEXAMINOLEVULINATE (BRD:BRD-K73753850-003-01-6),HEXAMINOLEVULINATE,4,5,0.954546640461607,0.897865273093996,0.05668136736761098,0.06349206349206349,Sí,0.38228905597326646
IXABEPILONE (BRD:BRD-K03601870-001-01-2),IXABEPILONE,5,4,0.711281824028335,0.6121572380003795,0.09912458602795549,0.06349206349206349,Sí,0.38228905597326646
LY2874455 (BRD:BRD-K17203476-001-01-9),LY2874455,5,4,0.84797970134637,0.6550536444527545,0.19292605689361553,0.06349206349206349,Sí,0.38228905597326646
METHIAZOLE (BRD:BRD-K02764365-001-13-6),METHIAZOLE,4,5,0.8858072618405145,0.821789506405663,0.06401775543485155,0.06349206349206349,Sí,0.38228905597326646
MK 2206 (BRD:BRD-K68065987-300-09-1),MK 2206,4,5,0.726530957781075,0.841269440478151,-0.11473848269707598,0.06349206349206349,Sí,0.38228905597326646
ORIDONIN (BRD:BRD-K23925186-001-02-8),ORIDONIN,4,5,0.9524666294265115,0.826433298120337,0.12603333130617456,0.06349206349206349,Sí,0.38228905597326646
PERUVOSIDE (BRD:BRD-A72716251-001-01-5),PERUVOSIDE,5,4,0.636567084411532,0.5529684491660485,0.0835986352454835,0.06349206349206349,Sí,0.38228905597326646
SELINEXOR (BRD:BRD-K21361524-001-01-1),SELINEXOR,4,5,0.6057468967724705,0.523277949546691,0.08246894722577947,0.06349206349206349,Sí,0.38228905597326646
SNX 2112 (BRD:BRD-K71281111-001-04-3),SNX 2112,5,4,0.505839707010125,0.42600093675239303,0.079838770257732,0.06349206349206349,Sí,0.38228905597326646
TASELISIB (BRD:BRD-K44844162-001-01-6),TASELISIB,5,4,0.699177234847594,0.84208654449127,-0.14290930964367599,0.06349206349206349,Sí,0.38228905597326646
TRIPTOLIDE (BRD:BRD-K39484304-001-16-5),TRIPTOLIDE,5,4,0.3209062551448,0.0462173268722442,0.27468892827255575,0.06349206349206349,Sí,0.38228905597326646
VALRUBICIN (BRD:BRD-K72951360-001-01-4),VALRUBICIN,5,4,0.753330420795353,0.653318390801982,0.100012029993371,0.06349206349206349,Sí,0.38228905597326646
VINCRISTINE (BRD:BRD-K12251893-065-04-7),VINCRISTINE,4,5,0.6131438400857194,0.213902227713162,0.3992416123725574,0.06349206349206349,Sí,0.38228905597326646
WAY-600 (BRD:BRD-K85920262-001-02-1),WAY-600,5,4,0.793864904928453,0.8660616186378496,-0.07219671370939662,0.06349206349206349,Sí,0.38228905597326646
OXIPEROMIDE (BRD:BRD-K78096648-001-05-7),OXIPEROMIDE,5,3,0.93818965428251,0.839319812646402,0.09886984163610801,0.07142857142857142,Sí,0.42120765832106033
SPERMIDINE (BRD:BRD-K40438880-305-06-6),SPERMIDINE,3,5,0.819458307722705,0.964503599919343,-0.14504529219663798,0.07142857142857142,Sí,0.42120765832106033
ARRY-334543 (BRD:BRD-K46386702-001-02-1),ARRY-334543,5,5,0.7873768277131858,0.91098027333841,-0.12360344562522418,0.09523809523809523,Sí,0.42448979591836733
